Library Name,Legal Service Area (Population Assignment),Start of Local Fiscal Year (LFY),End of Local Fiscal Year (LFY),Mail City,Library Phone,Total Staff Expenditures,Print Material Expenditures,Electronic Material Expenditures,City/Library District Capital Revenue,Total Capital Revenue,Electronically Searchable  Catalog,1% of Collection Published in Last Five Years?,Books in Print,Physical Audio Items,E-books,E-Audio,Total Collection Items,Annual Library Visits,Registered Library Users,Annual Circulation: All Other Ages Physical Items,Annual Circulation: All Other Ages Digital Items,Total Annual Circulation,Public Internet Computers Available,Number of Public Internet Computers,Annual Number of Computer Uses,Annual Website Visits,Annual Number of Public Service Hours,Annual Number Public Service Weeks
Cockrell Hill Public Library,"3,686",10-01-2022,09/30/2023,Cockrell Hill-Dallas,(214) 330-9935,"$39,629.00",$942.00,$0.00,$0.00,$0.00,Y,Y,"4,750",0,"15,037","4,292","24,079","1,463","1,062",103,2,376,Y,12,225,0,690,23
Coldspring Area Public Library Inc,854,01-01-2023,12/31/2023,Coldspring,(936) 653-3104,"$32,938.00","$1,283.00","$1,500.00",$0.00,$0.00,Y,Y,"14,268",669,"21,150","2,573","40,035","7,360","3,405","2,428","1,484","5,486",Y,7,"1,007","4,153","2,015",51
Coleman Public Library,"7,850",10-01-2022,09/30/2023,Coleman,(325) 625-3043,"$1,09,293.00","$12,391.00","$2,966.00","$1,50,020.00","$1,75,020.00",Y,Y,"33,503",0,"1,96,567","98,144","3,62,397","22,635","10,768","18,741","21,443","45,906",Y,15,"7,520",0,"1,604",47
Colleyville Public Library,"25,850",10-01-2022,09/30/2023,Colleyville,(817) 503-1150,"$8,75,612.00","$66,231.00","$77,245.00",$0.00,$0.00,Y,Y,"55,914","4,089","3,99,952","4,04,567","8,74,206","94,663","9,546","65,933","59,903","2,65,243",Y,6,"1,723",0,"2,382",52
Nesbitt Memorial Library,"5,771",10-01-2022,09/30/2023,Columbus,(979) 732-3392,"$1,92,277.00","$19,581.00","$8,971.00",$0.00,"$84,460.00",Y,Y,"30,200",838,"35,782","11,380","79,455","36,266","2,339","13,160","3,199","28,159",Y,10,"3,109","18,900","2,156",52
Comanche Public Library,"8,995",10-01-2022,09/30/2023,Comanche,(325) 356-2122,"$1,45,032.00","$5,923.00","$1,000.00","$31,833.00","$95,500.00",Y,Y,"21,240",367,"10,098","1,070","33,801","11,020","4,253","5,131","1,635","10,467",Y,7,"2,573",0,"2,782",52
Comfort Public Library,"16,017",01-01-2023,12/31/2023,Comfort,(830) 995-2398,"$1,36,545.00","$17,283.00","$5,334.00",$0.00,"$1,61,257.00",Y,Y,"26,502",480,"37,112","8,783","74,214","12,162","1,952","3,759","3,456","13,080",Y,14,638,"1,140","1,594",45
Commerce Public Library,"21,938",10-01-2022,09/30/2023,Commerce,(903) 886-6858,"$83,304.00","$5,981.00","$6,180.00",$0.00,$0.00,Y,Y,"16,943",839,"42,655","11,642","74,098","9,430","8,600","2,174","4,251","8,331",Y,5,"1,137",0,"2,009",49
Montgomery County Memorial Library System,"6,71,542",10-01-2022,09/30/2023,Conroe,(936) 788-8377,"$92,58,264.00","$6,86,954.00","$3,29,201.00",$0.00,$0.00,Y,Y,"5,72,634","36,748","7,33,232","4,60,651","18,63,669","7,77,917","3,65,091","10,29,428","4,78,916","28,57,128",Y,170,"42,122","9,16,417","3,134",52
Converse Public Library,"29,603",10-01-2022,09/30/2023,Converse,(210) 659-4160,"$2,92,739.00","$24,589.00","$8,045.00",$0.00,$0.00,Y,Y,"18,547",146,"32,850","10,115","64,329","42,058","5,657","15,760","2,451","38,066",Y,12,"5,681","6,938","2,188",52
Cozby Library and Community Commons,"41,926",10-01-2022,09/30/2023,Coppell,(972) 304-3655,"$20,48,596.00","$1,62,000.00","$68,067.00",$0.00,$0.00,Y,Y,"66,740","1,780","1,72,931","87,175","3,34,071","2,26,614","47,099","1,31,349","68,192","4,93,740",Y,20,"7,058","52,447","3,464",52
Copperas Cove Public Library,"37,964",10-01-2022,09/30/2023,Copperas Cove,(254) 547-3826,"$3,42,362.00","$8,412.00","$4,050.00",$0.00,$0.00,Y,Y,"45,184","1,977","42,021","12,694","1,05,239","61,426","16,587","37,788","10,531","72,153",Y,23,"15,000","39,085","2,490",52
Corpus Christi Public Libraries,"3,16,239",10-01-2022,09/30/2023,Corpus Christi,(361) 826-7070,"$33,90,339.00","$2,37,844.00","$2,36,133.00",$0.00,$0.00,Y,Y,"3,50,562","12,355","29,007","18,308","4,39,408","3,85,080","1,16,011","3,28,140","66,027","7,93,830",Y,103,"55,748","1,34,206","2,142",51
Mickey Reily Public Library,"1,478",10-01-2022,09/30/2023,Corrigan,(936) 398-4156,"$1,36,781.00","$6,891.00",$0.00,$0.00,$0.00,Y,Y,"22,237",963,0,0,"24,300","3,986","5,067","1,630",0,"2,149",Y,10,"1,692",0,"1,952",49
Corsicana Public Library,"25,566",10-01-2022,09/30/2023,Corsicana,(903) 654-4810,"$2,85,602.00","$37,763.00","$6,000.00",$0.00,$0.00,Y,Y,"72,887","1,856","33,234","8,924","1,20,125","71,485","27,002","34,062","8,540","61,891",Y,10,"5,424",0,"2,377",52
Alexander Memorial Library,"6,604",01-01-2023,12/31/2023,Cotulla,(830) 879-2601,"$77,071.00","$6,405.00",$990.00,$0.00,$0.00,Y,Y,"15,860",156,"31,603","2,547","52,032","2,600","2,982","2,903",0,"3,689",Y,10,"1,288",0,"1,488",52
Crandall-Combine Community Library,"23,852",09-01-2022,08/31/2023,Crandall,(972) 427-6120,"$1,25,990.00","$24,677.00","$7,890.00",$0.00,$0.00,Y,Y,"26,818",343,"37,786","7,884","72,971","29,825","4,483","7,009","1,123","13,582",Y,8,153,0,"1,903",44
Crane County Library,"4,546",10-01-2022,09/30/2023,Crane,(432) 558-1142,"$2,28,644.00","$14,053.00","$2,244.00",$0.00,$0.00,Y,Y,"18,411",550,"18,696","4,470","44,049","16,640",538,"2,867",506,"8,833",Y,11,"5,720",0,"1,976",52
JH Wootters Crockett Public Library,"6,307",10-01-2022,09/30/2023,Crockett,(936) 544-3089,"$1,54,302.00","$22,850.00","$3,000.00",$0.00,$0.00,Y,Y,"46,190",799,"35,455","6,750","91,617","28,564","8,354","10,682","3,466","23,972",Y,12,"6,444","2,235","2,028",52
Crosby County Library,"4,998",10-01-2022,09/30/2023,Crosbyton,(806) 675-2673,"$78,311.00","$3,797.00","$1,500.00",$0.00,$0.00,Y,Y,"25,288",366,"33,575","8,850","68,157","4,643","1,744","5,077",752,"7,155",Y,19,664,591,"1,351",52
Cross Plains Public Library,"2,701",01-01-2023,12/31/2023,Cross Plains,(254) 725-7722,"$17,488.00","$1,598.00",$243.00,$0.00,$0.00,Y,Y,"20,270",168,"1,71,836","87,176","2,86,161","2,831","4,186","1,488",148,"3,138",Y,6,141,0,925,51
Foard County Library,"1,057",01-01-2023,12/31/2023,Crowell,(940) 684-1250,"$24,699.00","$3,000.00",$0.00,$0.00,"$62,369.00",Y,Y,"14,222",85,0,0,"15,682","7,950",975,"8,700",0,"11,450",Y,6,"2,500",0,"1,250",50
Crowley Public Library,"19,478",10-01-2022,09/30/2023,Crowley,(817) 297-6707,"$5,42,821.00","$25,857.00","$3,800.00","$7,311.00","$7,311.00",Y,Y,"52,341","2,936","21,906","14,936","99,382","41,396","20,800","47,455","5,142","98,450",Y,17,"2,944",0,"2,055",52
Cuero Public Library,"8,106",10-01-2022,09/30/2023,Cuero,(361) 275-2864,"$1,78,285.00","$11,511.00","$1,500.00",$0.00,$0.00,Y,Y,"11,680",478,"40,545","13,812","67,744","11,782","3,203","11,684","2,869","21,185",Y,16,"2,594",0,"2,343",52
Daingerfield Public Library,"2,518",10-01-2022,09/30/2023,Daingerfield,(903) 645-2823,"$39,987.00","$10,668.00",$0.00,$0.00,$0.00,Y,Y,"9,750",207,"15,037","4,292","29,963","3,198","3,217","2,484",160,"3,653",Y,5,"4,240",0,"1,560",52
Dallam-Hartley County Library,"12,449",10-01-2022,09/30/2023,Dalhart,(806) 244-2761,"$1,24,418.00","$11,758.00","$1,513.00",$0.00,$0.00,Y,Y,"20,539",970,"5,982","1,941","30,818","9,326","2,581","7,981",576,"12,102",Y,5,910,"8,329","1,672",44
Dallas Public Library,"12,99,544",10-01-2022,09/30/2023,Dallas,(214) 670-1400,"$2,36,07,828.00","$19,98,930.00","$25,16,174.00",$0.00,$0.00,Y,Y,"22,63,753","34,315","15,93,843","6,48,754","49,08,286","2,77,384","6,43,892","19,42,599","11,84,937","47,24,189",Y,611,"1,71,971","9,44,626","2,196",52
Jones Public Library,"9,375",10-01-2022,09/30/2023,Dayton,(936) 258-7060,"$2,10,487.00","$13,686.00","$3,096.00",$0.00,$0.00,Y,Y,"22,018",823,"1,566",346,"25,804","33,749","5,823","10,967","3,070","23,365",Y,27,"3,069","5,386","2,254",52
DeLeon City County Library,"4,883",10/20/2022,09/30/2023,De Leon,(254) 893-2417,"$35,689.00","$9,715.00",$467.00,$0.00,$0.00,Y,Y,"7,945",293,"1,71,836","87,176","2,68,116","1,672","1,322","1,130",732,"2,462",Y,5,248,0,"1,560",52
Decatur Public Library,"30,252",10-01-2022,09/30/2023,Decatur,(940) 393-0290,"$4,48,799.00","$30,259.00","$9,004.00",$0.00,$0.00,Y,Y,"35,825","1,765","22,490","17,393","80,808","44,932","21,223","18,173","10,553","69,893",Y,6,"3,540","1,27,556","2,219",52
Deer Park Public Library,"33,468",10-01-2022,09/30/2023,Deer Park,(281) 478-7208,"$9,69,889.00","$64,515.00","$71,295.00","$52,042.00","$52,042.00",Y,Y,"77,251","1,152","45,787","25,714","1,56,727","52,748","45,333","39,294","25,533","1,19,439",Y,28,"8,052","4,858","2,450",51
Val Verde County Library,"47,606",10-01-2022,09/30/2023,Del Rio,(830) 774-7595,"$5,98,834.00","$64,978.00","$11,547.00",$0.00,$0.00,Y,Y,"48,042","1,053","1,722","3,356","56,840","46,907","27,967","29,930","4,485","61,833",Y,29,"12,352",0,"2,704",52
East Travis Gateway Library District,"36,665",01-01-2023,12/31/2023,Del Valle,(512) 243-1981,"$4,10,094.00","$54,687.00","$17,429.00",$0.00,$0.00,Y,Y,"14,388",18,"50,962","17,477","83,691","16,066","7,565","4,675","4,403","18,392",Y,10,"2,557","12,736","2,040",52
Denison Public Library,"26,238",10-01-2022,09/30/2023,Denison,(903) 465-1797,"$7,14,831.00","$41,766.00","$11,027.00",$0.00,$0.00,Y,Y,"24,980",721,"33,426","10,808","72,921","63,294","2,718","46,118","8,875","1,08,909",Y,16,"7,304","32,353","2,338",51
Denton Public Library,"1,50,353",10-01-2022,09/30/2023,Denton,(940) 349-8752,"$44,42,677.00","$3,03,079.00","$3,09,515.00",$0.00,$0.00,Y,Y,"1,90,259","14,090","17,352","22,413","2,78,065","4,32,676","1,33,041","3,79,955","1,18,934","10,62,638",Y,97,"42,385","3,34,778","3,134",52
Yoakum County/Cecil Bickley Library,"4,535",01-01-2023,12/31/2023,Denver City,(806) 592-2754,"$2,47,551.00","$20,633.00","$1,342.00",$0.00,$0.00,Y,Y,"42,837","1,758","18,608","4,448","72,081","21,802","5,913","6,969","1,719","12,547",Y,12,"5,312","1,098","2,107",49
DeSoto Public Library,"55,968",10-01-2022,09/30/2023,DeSoto,(972) 230-9665,"$12,50,721.00","$52,797.00","$22,950.00",$0.00,$0.00,Y,Y,"49,535","1,872","3,591","6,463","71,233","72,441","44,685","12,216","1,035","55,228",Y,48,"26,674",0,"2,901",52
Driscoll Public Library,"4,501",10-01-2022,09/30/2023,Devine,(830) 663-2993,"$1,12,090.00","$5,002.00","$1,000.00",$0.00,$0.00,Y,Y,"14,038",441,"32,812","10,041","59,006","16,605","1,373","4,574","2,188","14,138",Y,10,"3,593",0,"1,964",52
TLL Temple Memorial Library & Archives,"4,560",01-01-2023,12/31/2023,Diboll,(936) 829-5497,"$2,18,259.00","$12,203.00","$1,500.00",$0.00,$0.00,Y,Y,"36,756",477,"39,648","8,102","86,990","19,457","7,947","5,299","3,427","14,963",Y,14,"1,299",0,"2,244",51
Dickinson Public Library,"24,754",10-01-2022,09/30/2023,Dickinson,(281) 534-3812,"$5,35,518.00","$23,226.00","$8,425.00",$0.00,$0.00,Y,Y,"20,414",655,"1,34,904","78,598","2,36,620","31,430","14,878","6,749","4,939","29,202",Y,12,0,"30,720","2,385",47
Dilley Public Library,"3,313",10-01-2022,09/30/2023,Dilley,(830) 965-1951,"$98,430.00","$2,575.00","$1,854.00",$0.00,$0.00,Y,Y,"13,326",150,"15,537","4,292","33,564","3,043","1,140",703,0,"1,619",Y,17,"1,223",0,"1,960",49
Rhoads Memorial Library,"7,298",10-01-2022,09/30/2023,Dimmitt,(806) 647-3532,"$93,712.00","$7,251.00","$3,087.00",$0.00,$0.00,Y,Y,"20,446","3,699","6,738","2,293","34,821","9,373","1,899","3,412",720,"7,225",Y,7,"3,461","10,794","1,878",48
Donna Public Library,"25,754",10-01-2022,09/30/2023,Donna,(956) 464-2221,"$3,67,498.00","$7,529.00","$3,000.00",$0.00,$0.00,Y,Y,"49,068",210,"2,06,581","1,03,488","3,61,121","37,495","5,526","2,222",889,"4,515",Y,26,"3,747",0,"2,548",52
Dripping Springs Community Library,"54,805",01-01-2023,12/31/2023,Dripping Springs,(512) 858-7825,"$6,67,931.00","$40,759.00","$2,36,985.00","$7,19,352.00","$9,52,377.00",Y,Y,"45,191","1,867","11,990","7,357","70,289","81,232","11,891","46,931","43,635","1,90,092",Y,19,"3,937","50,002","2,853",52
Dublin Public Library,"3,435",10-01-2022,09/30/2023,Dublin,(254) 445-4141,"$92,980.00","$2,776.00","$6,325.00",$0.00,$0.00,Y,Y,"16,403",622,"34,686","16,275","69,991","12,447","5,894","10,741","2,248","22,904",Y,35,500,"5,011","2,000",52
Killgore Memorial Library,"20,996",10-01-2022,09/30/2023,Dumas,(806) 935-4941,"$4,65,260.00","$27,871.00","$5,527.00",$0.00,$0.00,Y,Y,"38,707","2,223","5,982","1,941","61,009","37,914","2,021","8,971",687,"19,639",Y,22,"1,834",0,"2,159",52
Duncanville Public Library,"39,413",10-01-2022,09/30/2023,Duncanville,(972) 780-5050,"$7,56,720.00","$71,100.00","$10,800.00",$0.00,$0.00,Y,Y,"83,324","5,274","6,438","3,096","1,07,620","91,309","12,828","20,482","5,923","59,512",Y,20,"17,025",0,"1,867",52
Eula & David Wintermann Library,"5,366",07-01-2022,06/30/2023,Eagle Lake,(979) 234-5411,"$92,114.00","$8,709.00","$1,574.00",$0.00,$0.00,Y,Y,"27,825","2,530","17,817","2,269","51,015","11,908","4,732","3,398",712,"5,527",Y,11,"1,182",0,"1,864",52
Eagle Pass Public Library,"57,843",10-01-2022,09/30/2023,Eagle Pass,(830) 773-7323,"$5,52,625.00","$16,678.00","$35,417.00",$0.00,$0.00,Y,Y,"33,137",780,"17,775","5,749","58,200","48,650","8,304","6,052","1,123","18,578",Y,2,"3,824",0,"1,912",51
Springlake-Earth Community Library,"1,561",09-01-2022,08/31/2023,Earth,(806) 257-3357,"$61,742.00","$9,919.00","$2,237.00",$0.00,$0.00,Y,Y,"19,948",0,"17,936",582,"38,683","22,853","1,599","5,012","14,943","34,097",Y,1,8,0,"2,473",51
Centennial Memorial Library,"3,640",01-01-2023,12/31/2023,Eastland,(254) 629-2281,"$24,986.00","$4,625.00",$553.00,$0.00,$0.00,Y,Y,"9,591",221,"1,91,863","96,574","2,98,946","5,594","2,666","5,205","1,174","11,946",Y,7,239,"1,055","1,032",51
Dustin Michael Sekula Memorial Library,"1,60,131",10-01-2022,09/30/2023,Edinburg,(956) 383-6246,"$19,43,690.00","$77,184.00","$17,510.00",$0.00,$0.00,Y,Y,"1,03,240","1,314","1,89,414","94,404","4,03,977","1,41,803","1,53,352","39,288","9,452","1,48,624",Y,48,"51,574","58,860","3,317",52
Jackson County Memorial Library,"15,142",10-01-2022,09/30/2023,Edna,(361) 782-2162,"$1,47,332.00","$32,337.00","$2,000.00",$0.00,$0.00,Y,Y,"23,510","1,601","25,508","9,520","61,021","28,432","4,523","7,970","3,821","27,857",Y,10,"2,066","6,835","1,981",52
El Paso Public Library,"6,77,456",09-01-2022,08/31/2023,El Paso,(915) 212-7323,"$72,82,274.00","$8,19,658.00","$4,37,173.00",$0.00,$0.00,Y,Y,"6,83,157","30,128","41,876","33,743","8,81,058","5,97,133","1,06,077","4,65,119","2,38,947","12,22,690",Y,320,"92,889","4,77,644","2,808",52
Ilumina Public Library,"1,91,307",10-01-2022,09/30/2023,El Paso/County,(915) 273-3409,"$1,54,057.00",$0.00,"$35,163.00",$0.00,$0.00,Y,Y,0,0,"1,90,309","91,223","2,82,473",590,847,0,"4,116","4,959",Y,20,252,"27,810","1,746",52
Schleicher County Public Library,"2,357",01-01-2023,12/31/2023,Eldorado,(325) 853-3767,"$33,213.00","$12,002.00","$1,500.00",$0.00,"$1,12,000.00",Y,Y,"11,696",427,"25,135","6,173","45,102","5,687",826,"3,774",330,"6,600",Y,13,562,0,"1,224",52
Electra Public Library,"2,291",10-01-2022,09/30/2023,Electra,(940) 495-2208,"$86,549.00","$4,309.00","$1,000.00",$0.00,$0.00,Y,Y,"21,591","1,422","10,270",865,"40,690","2,616","1,305","16,996","15,980","37,754",Y,11,"1,393","1,685","1,920",50
Elgin Public Library,"11,359",10-01-2022,09/30/2023,Elgin,(512) 281-5678,"$3,89,752.00","$18,354.00",$0.00,$0.00,$0.00,Y,Y,"29,660","1,240","46,080","15,079","94,474","27,447","8,710","32,092","4,275","87,671",Y,12,"3,775",0,"2,130",52
Elsa Public Library,"8,696",10-01-2022,09/30/2023,Elsa,(956) 262-3061,"$2,05,600.00","$5,500.00",$0.00,$0.00,$0.00,Y,Y,"24,373",225,"9,868","3,568","38,359","11,386","3,276",125,0,"4,635",Y,35,"1,992",0,"2,205",52
Rains County Public Library,"12,823",10-01-2022,09/30/2023,Emory,(903) 473-5096,"$1,15,955.00","$17,051.00","$3,280.00",$0.00,$0.00,Y,Y,"22,088","1,263","33,226","10,385","69,023","15,204","10,137","16,246","3,850","26,057",Y,9,"1,519",0,"2,028",52
Ennis Public Library,"22,890",10-01-2022,09/30/2023,Ennis,(972) 875-5360,"$4,75,348.00","$25,983.00","$3,000.00","$1,50,053.00","$1,50,053.00",Y,Y,"23,851",909,"47,242","12,927","86,222","35,302","13,650","19,282","5,417","42,313",Y,6,"4,390","12,267","2,059",48
Euless Public Library,"60,169",10-01-2022,09/30/2023,Euless,(817) 685-1480,"$15,91,938.00","$1,15,531.00","$1,75,706.00",$0.00,$0.00,Y,Y,"65,680","2,310","12,17,190","5,84,794","19,42,611","1,85,416","30,654","77,581","63,666","2,53,162",Y,33,"26,400","94,662","3,019",52
Fairfield Library,"9,106",01-01-2023,12/31/2023,Fairfield,(903) 389-3574,"$60,628.00","$5,004.00","$1,500.00",$0.00,$0.00,Y,Y,"21,795",443,"39,615","16,030","78,582","23,319","2,847","7,015","2,624","17,686",Y,25,"2,767",0,"1,632",52
Ed Rachal Memorial Library,"6,906",10-01-2022,09/30/2023,Falfurrias,(361) 325-2144,"$38,668.00","$3,000.00",$0.00,$0.00,$0.00,Y,Y,"40,061",0,0,0,"40,061","12,962","8,614","10,122",0,"10,862",Y,13,"6,474",0,"2,080",52
Falls City Public Library,953,10-01-2022,09/30/2023,Falls City,(830) 254-3361,"$1,02,002.00","$20,057.00","$1,377.00",$0.00,$0.00,Y,Y,"14,857",200,"86,546","10,041","1,13,400","7,382","1,179","6,370",605,"11,994",Y,6,782,0,"1,464",52
Farmers Branch Manske Public Library,"36,286",10-01-2022,09/30/2023,Farmers Branch,(972) 247-2511,"$7,51,420.00","$1,27,719.00","$94,539.00",$0.00,$0.00,Y,Y,"79,519","4,195","41,773","21,122","1,60,699","1,24,031","13,738","63,120","18,482","1,69,289",Y,23,"17,698","94,867","3,199",52
Charles J Rike Memorial Library,"4,675",10-01-2022,09/30/2023,Farmersville,(972) 782-6681,"$1,09,100.00","$10,985.00","$1,125.00",$0.00,$0.00,Y,Y,"19,033","1,147","62,073","28,766","1,14,478","10,690","6,339","11,191",457,"15,385",Y,8,"1,229",0,"1,880",47
Ferris Public Library,"2,893",10-01-2022,09/30/2023,Ferris,(972) 544-2110,"$1,42,586.00","$11,589.00","$1,500.00",$0.00,$0.00,Y,Y,"17,089",207,"32,306","8,743","60,168","8,879",869,"3,380","1,159","8,269",Y,12,"1,487",0,"1,632",48
Florence Public Library,"1,196",10-01-2022,09/30/2023,Florence,(254) 793-2672,"$17,442.00","$4,097.00",$0.00,$0.00,$0.00,Y,Y,"9,374",45,"15,037","4,292","28,805","5,786","1,383","3,727",133,"6,141",Y,6,439,0,"1,750",50
Wilson County Public Libraries,"52,735",10-01-2022,09/30/2023,Floresville,(830) 393-7361,"$4,62,667.00","$29,674.00","$10,560.00",$0.00,$0.00,Y,Y,"59,490","3,302","33,020","9,792","1,12,161","1,01,340","28,346","72,507","7,958","1,26,398",Y,34,"4,532","15,064","2,496",52
Flower Mound Public Library,"1,07,708",10-01-2022,09/30/2023,Flower Mound,(972) 874-6200,"$16,98,455.00","$1,04,918.00","$1,34,722.00",$0.00,$0.00,Y,Y,"78,885","2,054","2,00,394","1,18,541","4,07,242","2,56,548","47,674","1,37,303","1,53,804","5,88,948",Y,17,"7,257","1,13,476","3,188",52
Floyd County Library,"5,235",10-01-2022,09/30/2023,Floydada,(806) 983-4922,"$76,754.00","$7,282.00",$0.00,$0.00,$0.00,Y,Y,"24,528",134,0,0,"25,281","17,892","3,036","7,889",0,"10,852",Y,6,228,0,"1,632",50
Forest Hill Public Library,"19,699",01-01-2023,12/31/2023,Forest Hill,(817) 551-5354,"$2,54,680.00","$9,798.00","$8,013.00","$2,23,236.00","$2,23,236.00",Y,Y,"19,864",115,"12,000","1,384","38,828","31,820","9,238","2,773","28,646","40,823",Y,22,"6,438",0,"1,950",40
Jeff Davis County Library,"1,903",01-01-2023,09/30/2023,Fort Davis,(432) 426-3802,"$74,063.00","$6,458.00",$0.00,$0.00,"$1,00,000.00",Y,Y,"8,586",695,"15,037","4,292","32,295","9,300","1,077","11,368",229,"15,018",Y,15,"1,257",0,"1,636",51
Fort Stockton Public Library,"10,496",01-01-2023,12/31/2023,Fort Stockton,(432) 336-3374,"$4,15,823.00","$18,434.00","$1,565.00",$0.00,$0.00,Y,Y,"57,597","1,450","15,192","4,757","82,162","40,735","10,423","16,596",664,"32,015",Y,12,"18,158","25,830","1,976",50
Fort Worth Public Library,"9,56,709",10-01-2022,09/30/2023,Fort Worth,(817) 392-8031,"$1,61,68,366.00","$8,36,497.00","$28,13,436.00","$1,70,00,000.00","$1,70,00,000.00",Y,Y,"5,63,281","34,352","1,05,840","2,05,174","10,64,197","10,09,069","3,13,257","7,66,509","12,52,122","34,90,957",Y,236,"1,25,931","14,03,203","2,432",38
Robertson County Carnegie Library,"4,152",01-01-2023,12/31/2023,Franklin,(979) 828-4331,"$54,794.00","$14,151.00","$1,500.00",$0.00,$0.00,Y,Y,"14,010",100,"34,332","13,088","61,696","9,700","2,700","4,300",348,"9,183",Y,5,"2,300",0,"2,000",50
Frankston Depot Library,"2,423",01-01-2023,12/31/2023,Frankston,(903) 876-4463,"$29,711.00","$24,500.00",$0.00,$0.00,$0.00,Y,Y,"13,358",402,0,0,"15,156","2,437","2,508",873,0,"1,520",Y,4,425,50,"1,200",52
Pioneer Memorial Library,"26,711",10-01-2022,09/30/2023,Fredericksburg,(830) 997-6513,"$2,35,749.00","$16,055.00","$3,000.00",$0.00,$0.00,Y,Y,"31,102","1,316","17,596","5,648","57,549","34,156","8,406","37,116","7,610","74,951",Y,9,"2,322",0,"2,240",52
Friendswood Public Library,"45,039",10-01-2022,09/30/2023,Friendswood,(281) 482-7135,"$12,16,098.00","$90,003.00","$59,297.00",$0.00,"$44,437.00",Y,Y,"80,626","5,679","44,790","23,599","1,61,560","1,64,039","65,055","1,20,037","65,999","3,31,939",Y,12,"13,637","2,82,410","2,938",52
Friona Public Library,"4,053",10-01-2022,09/30/2023,Friona,(806) 250-3200,"$1,18,062.00","$30,379.00","$6,668.00",$0.00,$723.00,Y,Y,"32,180","1,557","5,982","1,941","42,867","6,265","2,908","2,442",649,"5,790",Y,11,"1,041","1,687","1,864",52
Frisco Public Library,"2,19,587",10-01-2022,09/30/2023,Frisco,(972) 292-5669,"$48,31,294.00","$6,76,614.00","$4,58,593.00","$6,20,00,000.00","$6,23,00,000.00",Y,Y,"2,11,430",746,"44,038","16,101","2,94,319","8,30,422","1,36,376","4,66,667","3,47,816","24,92,905",Y,114,"42,018","13,99,245","2,702",40
Cooke County Library,"39,857",10-01-2022,09/30/2023,Gainesville,(940) 668-5530,"$3,88,164.00","$36,500.00","$15,891.00",$0.00,"$1,65,587.00",Y,Y,"46,732","2,952","42,917","9,296","1,06,565","43,806","5,980","35,837","13,578","82,030",Y,19,"7,294","29,649","2,396",48
Rosenberg Library,"60,454",10-01-2022,09/30/2023,Galveston,(409) 763-8854,"$30,40,742.00","$1,32,765.00","$2,04,462.00",$0.00,"$3,20,535.00",Y,Y,"93,245","3,862","47,157","26,013","1,84,200","1,97,816","23,377","63,744","61,708","1,94,210",Y,37,"35,453","10,18,183","3,008",52
City of Garden Ridge Library,"4,334",10-01-2022,09/30/2023,Garden Ridge,(210) 651-6570,"$82,150.00","$2,656.00","$3,107.00",$0.00,$0.00,Y,Y,"14,776",733,"33,054","9,856","59,327","14,617","2,345","4,296","3,386","14,774",Y,5,0,0,"1,976",52
Nicholson Memorial Library System,"2,40,854",10-01-2022,09/30/2023,Garland,(972) 205-2548,"$43,27,965.00","$5,48,330.00","$7,08,745.00","$27,31,302.00","$29,08,301.00",Y,Y,"1,69,672","4,452","73,319","38,918","3,45,031","2,89,216","1,22,740","2,08,596","3,01,492","7,51,649",Y,78,"42,539",0,"3,075",50
Garwood Memorial Library,"6,367",01-01-2023,12/31/2023,Garwood,(979) 758-3242,"$3,180.00","$1,500.00",$700.00,$0.00,"$4,500.00",N,N,"9,650",65,0,0,"9,827",950,905,342,0,782,Y,1,100,0,"3,120",52
Gatesville Public Library,"7,312",10-01-2022,09/30/2023,Gatesville,(254) 865-5367,"$1,51,136.00","$24,394.00","$4,322.00",$0.00,$0.00,Y,Y,"38,064","3,646","46,110","15,012","1,04,679","43,070","9,202","18,048","9,599","40,606",Y,20,"5,106","16,961","2,624",52
Live Oak County Library,"10,176",01-01-2023,12/31/2023,George West,(361) 449-1124,"$96,464.00","$9,675.00",$0.00,$0.00,$0.00,Y,Y,"34,518","1,048","23,293","5,248","67,057","13,330","6,373","2,466",517,"6,635",Y,13,"2,076",0,"1,637",50
Georgetown Public Library,"86,507",10-01-2022,09/30/2023,Georgetown,(512) 930-3551,"$20,06,311.00","$1,68,827.00","$1,39,391.00",$0.00,$0.00,Y,Y,"88,807","6,714","8,83,366","49,129","11,39,720","3,31,087","41,650","2,63,639","1,25,500","6,44,190",Y,68,"14,904",0,"3,192",51
Giddings Public Library,"5,129",10-01-2022,09/30/2023,Giddings,(979) 542-2716,"$2,60,621.00","$12,360.00","$1,000.00","$92,777.00","$92,777.00",Y,Y,"25,738",666,"22,273","7,442","56,983","27,651","6,433","10,601","2,640","27,088",Y,21,"1,962","22,435","2,121",52
Upshur County Library,"37,750",10-01-2022,09/30/2023,Gilmer,(903) 843-5001,"$1,96,326.00","$36,653.00","$12,482.00",$0.00,$0.00,Y,Y,"64,060","1,385","17,294","7,785","93,897","55,206","6,586","17,673","5,461","46,625",Y,19,679,"27,095","1,890",52
Lee-Bardwell Public Library,"9,472",10-01-2022,09/30/2023,Gladewater,(903) 845-2640,"$66,536.00","$5,526.00",$0.00,$0.00,$0.00,Y,Y,"38,207",513,0,0,"40,209","6,667","6,304","2,894",0,"5,824",Y,4,552,0,"2,586",48
