Library Name,Legal Service Area (Population Assignment),Start of Local Fiscal Year (LFY),End of Local Fiscal Year (LFY),Mail City,Library Phone,Total Staff Expenditures,Print Material Expenditures,Electronic Material Expenditures,City/Library District Capital Revenue,Total Capital Revenue,Electronically Searchable  Catalog,1% of Collection Published in Last Five Years?,Books in Print,Physical Audio Items,E-books,E-Audio,Total Collection Items,Annual Library Visits,Registered Library Users,Annual Circulation: All Other Ages Physical Items,Annual Circulation: All Other Ages Digital Items,Total Annual Circulation,Public Internet Computers Available,Number of Public Internet Computers,Annual Number of Computer Uses,Annual Website Visits,Annual Number of Public Service Hours,Annual Number Public Service Weeks
Gatesville Public Library,"4,174",10-01-2019,09/30/2020,Gatesville,2548655367,"$162,100","$9,654","$12,542","$247,174","$254,548",Yes,Yes,"39,732","3,908","22,611","6,031","74,578","29,200","8,202","14,091","6,913","29,240",Yes,17,"3,880","12,689","2,105",41
Live Oak County Library,"11,135",01-01-2020,12/31/2020,George West,3614491124,"$89,846","$7,001",$0,$0,"$156,672",Yes,Yes,"37,650","1,048","21,639","3,479","66,551","14,790","5,996","4,802",496,"7,184",Yes,16,"2,440",0,"1,625",51
Live Oak County Branch Library,,,,George West,3617863037,,,,,,,,,,,,,,,,,,,,,,1586,52
Georgetown Public Library,"79,604",10-01-2019,09/30/2020,Georgetown,5129303551,"$815,862","$180,052","$96,164","$2,913,513","$3,142,915",Yes,Yes,"90,209","9,621","29,163","6,647","1,46,866","2,24,404","40,730","2,75,734","80,990","5,15,720",Yes,43,"13,691",0,"2,684",45
WOW!mobile,,,,Georgetown,5129303551,,,,,,,,,,,,,,,,,,,,,,1856,49
Giddings Public Library,"5,099",10-01-2019,09/30/2020,Giddings,9795422716,"$220,160","$9,258",$625,"$287,863","$301,273",Yes,Yes,"29,797","1,007","16,557","4,399","52,749","21,739","5,162","16,880",522,"29,095",Yes,25,"2,690","2,021","1,861",46
Upshur County Library,"36,910",10-01-2019,09/30/2020,Gilmer,9038435001,"$129,021","$29,274","$8,649",$0,"$370,557",Yes,Yes,"59,967","1,075","29,362","6,824","1,00,096","25,904","6,586","18,677","5,692","36,829",Yes,22,"2,583","17,998","1,938",52
Lee Public Library,"9,535",10-01-2019,09/30/2020,Gladewater,9038452640,"$67,132","$5,528",$0,"$92,804","$116,474",Yes,Yes,"23,422",444,0,0,"24,676","9,302","6,172","4,926",0,"6,346",Yes,14,"3,500",0,"1,110",39
Gonzales Public Library,"7,533",01-01-2020,12/31/2020,Gonzales,8306726315,"$198,757","$20,144","$1,500","$370,598","$386,800",Yes,Yes,"29,198","1,147","7,238",566,"43,607","41,637","15,545","14,985","2,904","22,417",Yes,16,"4,265",0,"1,734",43
Library of Graham,"8,622",10-01-2019,09/30/2020,Graham,9405490600,"$174,815","$18,398","$3,000","$357,654","$472,075",Yes,Yes,"67,839","2,349","13,573","4,841","91,412","22,477","7,174","29,054","8,131","45,563",Yes,20,"8,645","14,959","1,949",52
Hood County Public Library,"61,643",10-01-2019,09/30/2020,Granbury,8175733569,"$398,704","$36,220","$33,258",$0,"$739,145",Yes,Yes,"46,582","1,503","4,694","3,999","65,788","56,951","21,699","1,19,105","21,611","2,11,572",Yes,21,"4,086",0,"2,160",43
Grand Prairie Public Library System,"1,94,543",10-01-2019,09/30/2020,Grand Prairie,9722375700,"$2,145,548","$139,948","$208,954","$2,810,014","$2,824,233",Yes,Yes,"1,12,700","3,711","22,982","21,597","1,76,650","2,51,996","84,380","71,343","76,168","2,89,847",Yes,45,"45,657","4,23,790","1,870",41
Betty Warmack Branch Library,,,,Grand Prairie,9722375770,,,,,,,,,,,,,,,,,,,,,,1840,41
Tony Shotwell Life Center Branch Library,,,,Grand Prairie,9722375740,,,,,,,,,,,,,,,,,,,,,,2087,41
Grand Saline Public Library,"7,235",10-01-2019,09/30/2020,Grand Saline,9039625516,"$36,831","$7,658","$1,000","$51,595","$65,839",Yes,Yes,"10,149",501,"7,719",617,"19,953","5,456","1,026","4,497","1,612","8,986",Yes,6,697,"2,711","1,136",38
Grapevine Public Library,"55,281",10-01-2019,09/30/2020,Grapevine,8174103400,"$1,512,789","$149,800","$117,907","$1,806,669","$1,830,776",Yes,Yes,"1,48,188","16,375","1,06,251","6,717","3,18,298","68,825","26,190","2,38,379","40,736","3,50,736",Yes,30,"10,332","55,015","2,842",45
Grapevine Resources on Wheels (GROW) Mobile Library,,,,Grapevine,8174103400,,,,,,,,,,,,,,,,,,,,,,156,12
W Walworth Harrison Public Library,"28,827",10-01-2019,09/30/2020,Greenville,9034572992,"$427,665","$35,545","$3,471","$548,791","$558,509",Yes,Yes,"69,174","1,916","28,464","5,826","1,07,613","44,969","2,198","22,348","9,400","53,190",Yes,22,"8,506",0,"2,148",43
Groesbeck Public Library,"8,594",10-01-2019,09/30/2020,Groesbeck,2547293667,"$97,446","$6,526","$1,500","$125,096","$135,945",Yes,Yes,"23,982",295,"26,804","6,241","59,080","4,655","1,373","4,027","1,269","9,072",Yes,16,883,"2,700","1,121",41
Groves Public Library,"15,480",10-01-2019,09/30/2020,Groves,4099626281,"$206,601","$11,416","$3,000","$271,661","$275,908",Yes,Yes,"32,745",979,"18,196","1,603","55,467","19,731","9,465","24,769","2,287","42,979",Yes,11,"3,431",0,"2,450",48
Hale Center Public Library Inc,"3,091",01-01-2020,12/31/2020,Hale Center,8068392055,"$8,585",$129,$0,"$5,400","$17,284",Yes,Yes,"13,013",284,0,0,"13,655",829,"1,401",296,0,475,Yes,4,105,0,855,40
Friench Simpson Memorial Library,"2,637",01-01-2020,12/31/2020,Hallettsville,3617983243,"$130,019","$13,325","$1,500","$176,484","$199,567",Yes,Yes,"20,103",443,"21,206","3,373","47,567","6,754","8,114","12,470","6,859","26,857",Yes,5,"1,052",0,970,39
Haltom City Public Library,"43,874",10-01-2019,09/30/2020,Haltom City,8172227786,"$898,224","$65,231","$19,450","$1,246,718","$1,268,466",Yes,Yes,"64,246","3,925","21,413","7,683","1,05,802","71,442","39,721","65,415","6,853","1,14,070",Yes,35,"13,696","42,782","2,044",43
Stewart C Meyer Library,"32,421",10-01-2019,09/30/2020,Harker Heights,2549535491,"$561,696","$31,577","$31,164","$720,195","$720,895",Yes,Yes,"54,236","4,438","21,524","14,132","98,503","47,145","57,725","56,329","15,767","1,12,474",Yes,6,"17,458",0,"2,198",47
Harlingen Public Library,"91,944",10-01-2019,09/30/2020,Harlingen,9562165800,"$846,020","$62,193","$66,874","$1,087,686","$1,238,408",Yes,Yes,"84,096",827,"18,305","39,332","1,48,496","82,437","52,903","57,152","21,108","1,50,059",Yes,57,"19,440","15,718","2,586",46
Haskell County Library,"5,779",10-01-2019,09/30/2020,Haskell,9408642747,"$108,585","$4,905",$0,$0,"$99,343",Yes,Yes,"13,807",386,0,0,"14,818","5,654","1,828","2,578",0,"3,461",Yes,7,"1,679",0,"1,653",41
Smith-Welch Memorial Library,"10,673",10-01-2019,09/30/2020,Hearne,9792795191,"$144,106","$11,149",$0,"$167,257","$172,913",Yes,Yes,"16,268",299,"20,237","5,180","43,328","11,599","2,992","11,656",706,"12,973",Yes,10,"2,771",0,"1,870",43
Waller County Library,"55,246",01-01-2020,12/31/2020,Hempstead,9798267658,"$404,795","$27,011","$4,000",$0,"$445,672",Yes,Yes,"45,541","1,073","14,886","1,558","71,795",0,"12,544","16,039","2,163","19,358",Yes,22,"1,271","64,489",384,8
Waller County Library Brookshire-Pattison,,,,Brookshire,2813755550,,,,,,,,,,,,,,,,,,,,,,672,14
Rusk County Library System,"50,891",01-01-2020,12/31/2020,Henderson,9036578557,"$811,676","$42,398","$8,866",$0,"$1,126,499",Yes,Yes,"99,105","2,109","28,692","4,596","1,43,901","44,148","20,542","30,102","8,524","68,937",Yes,62,"5,569","18,891","1,788",44
Mt Enterprise Library,,,,Mt Enterprise,9038223532,,,,,,,,,,,,,,,,,,,,,,1684,46
McMillan Memorial Library,,,,Overton,9038346318,,,,,,,,,,,,,,,,,,,,,,1662,46
Tatum Public Library,,,,Tatum,9039472211,,,,,,,,,,,,,,,,,,,,,,1662,46
Rusk County Library,,,,Henderson,9036578557,,,,,,,,,,,,,,,,,,,,,,2483,46
Edwards Public Library,"10,471",10-01-2019,09/30/2020,Henrietta,9405384791,"$127,182","$8,158",$0,$0,"$163,659",Yes,Yes,"29,981","1,634",0,0,"34,150","6,548","2,370","11,033",0,"15,627",Yes,6,904,0,"1,939",46
Deaf Smith County Library,"18,546",10-01-2019,09/30/2020,Hereford,8063641206,"$238,071","$37,687","$8,224",$0,"$344,443",Yes,Yes,"48,567","2,042","5,718","1,464","60,367","26,750","6,594","8,702","2,250","54,105",Yes,7,"2,510","6,086","1,788",42
Highland Park Library,"9,083",10-01-2019,09/30/2020,Highland Park,2145599400,"$582,041","$59,985","$61,253","$778,440","$804,885",Yes,Yes,"28,024","3,321","4,033","2,727","42,544","13,115","2,021","18,967","13,532","48,411",Yes,10,729,0,"1,711",41
Hillsboro City Library,"8,476",10-01-2019,09/30/2020,Hillsboro,2545827385,"$336,908","$21,005","$4,947","$527,791","$527,791",Yes,Yes,"35,668","1,400","21,301","7,687","67,679","19,000","19,414","28,827",472,"49,570",Yes,8,"3,708",0,"1,560",39
Genevieve Miller Hitchcock Public Library,"9,188",10-01-2019,09/30/2020,Hitchcock,4099867814,"$79,933","$11,009","$1,500","$127,315","$164,590",Yes,Yes,"32,815",558,"18,447","1,667","55,104","8,720","5,278","4,066",184,"5,818",Yes,15,"1,844","1,733","1,249",41
Hondo Public Library,"9,436",10-01-2019,09/30/2020,Hondo,8304265333,"$234,882","$15,749","$3,669","$315,889","$322,216",Yes,Yes,"13,281",688,"14,691","2,888","33,363","25,934","2,890","7,771","2,701","19,688",Yes,20,"4,458",325,"1,823",41
Honey Grove Library & Learning Center,"1,737",01-01-2020,12/31/2020,Honey Grove,9033782206,"$82,808","$7,086","$1,500","$6,066","$259,207",Yes,Yes,"15,478",415,"39,616","6,337","65,291","7,290","1,704","5,717","1,062","9,096",Yes,25,259,0,"1,402",44
Houston Public Library,"23,20,268",07-01-2019,06/30/2020,Houston,8323931313,"$30,272,932","$1,531,204","$1,689,592","$40,320,691","$42,772,202",Yes,Yes,"21,41,044","45,409","62,637","62,192","24,93,641","24,43,084","14,52,688","8,64,850","9,98,372","31,07,625",Yes,980,"4,09,138","20,99,094","1,907",37
Shepard-Acres Homes Neighborhood Library,,,,Houston,8323931700,,,,,,,,,,,,,,,,,,,,,,1364,37
Henington-Alief Regional Library,,,,Houston,8323931820,,,,,,,,,,,,,,,,,,,,,,1508,37
Bracewell Neighborhood Library,,,,Houston,8323932580,,,,,,,,,,,,,,,,,,,,,,1378,37
Carnegie Neighborhood Library,,,,Houston,8323931720,,,,,,,,,,,,,,,,,,,,,,1479,37
Collier Regional Library,,,,Houston,8323931740,,,,,,,,,,,,,,,,,,,,,,1506,37
Clayton Library Ctr for Genealogical Research,,,,Houston,8323932600,,,,,,,,,,,,,,,,,,,,,,1314,37
Dixon Neighborhood Library,,,,Houston,8323931760,,,,,,,,,,,,,,,,,,,,,,,
Fifth Ward Neighborhood Library,,,,Houston,8323931770,,,,,,,,,,,,,,,,,,,,,,,
Flores Neighborhood Library,,,,Houston,8323931780,,,,,,,,,,,,,,,,,,,,,,,
HPL Express Frank,,,,Houston,8323932410,,,,,,,,,,,,,,,,,,,,,,,
Heights Neighborhood Library,,,,Houston,8323931810,,,,,,,,,,,,,,,,,,,,,,,
Hillendahl Neighborhood Library,,,,Houston,8323931940,,,,,,,,,,,,,,,,,,,,,,,
Johnson Neighborhood Library,,,,Houston,8323932550,,,,,,,,,,,,,,,,,,,,,,,
Jungman Neighborhood Library,,,,Houston,8323931860,,,,,,,,,,,,,,,,,,,,,,,
McCrane-Kashmere Gardens Neighborhood Library,,,,Houston,8323932450,,,,,,,,,,,,,,,,,,,,,,,
Kendall Neighborhood Library,,,,Houston,8323931880,,,,,,,,,,,,,,,,,,,,,,,
Lakewood Neighborhood Library,,,,Houston,8323932530,,,,,,,,,,,,,,,,,,,,,,,
Looscan Neighborhood Library,,,,Houston,8323931900,,,,,,,,,,,,,,,,,,,,,,,
Mancuso Neighborhood Library,,,,Houston,8323931920,,,,,,,,,,,,,,,,,,,,,,,
Melcher Neighborhood Library,,,,Houston,8323932480,,,,,,,,,,,,,,,,,,,,,,,
Meyer Neighborhood Library,,,,Houston,8323931840,,,,,,,,,,,,,,,,,,,,,,,
Moody Neighborhood Library,,,,Houston,8323931950,,,,,,,,,,,,,,,,,,,,,,,
Oak Forest Neighborhood Library,,,,Houston,8323931960,,,,,,,,,,,,,,,,,,,,,,,
Park Place Regional Library,,,,Houston,8323931970,,,,,,,,,,,,,,,,,,,,,,,
Pleasantville Neighborhood Library,,,,Houston,8323932330,,,,,,,,,,,,,,,,,,,,,,,
Ring Neighborhood Library,,,,Houston,8323932000,,,,,,,,,,,,,,,,,,,,,,,
Scenic Woods Regional Library,,,,Houston,8323932030,,,,,,,,,,,,,,,,,,,,,,,
Smith Neighborhood Library,,,,Houston,8323932050,,,,,,,,,,,,,,,,,,,,,,,
Stanaker Neighborhood Library,,,,Houston,8323932080,,,,,,,,,,,,,,,,,,,,,,,
Tuttle Neighborhood Library,,,,Houston,8323932100,,,,,,,,,,,,,,,,,,,,,,,
Vinson Neighborhood Library,,,,Houston,8323932120,,,,,,,,,,,,,,,,,,,,,,,
Walter Neighborhood Library,,,,Houston,8323932500,,,,,,,,,,,,,,,,,,,,,,,
Young Neighborhood Library,,,,Houston,8323932140,,,,,,,,,,,,,,,,,,,,,,,
Freed-Montrose Neighborhood Library,,,,Houston,8323931800,,,,,,,,,,,,,,,,,,,,,,,
Robinson-Westchase Neighborhood Library,,,,Houston,8323932011,,,,,,,,,,,,,,,,,,,,,,,
Stimley-Blue Ridge Neighborhood Library,,,,Houston,8323932370,,,,,,,,,,,,,,,,,,,,,,,
McGovern-Stella Link Neighborhood Library,,,,Houston,8323932630,,,,,,,,,,,,,,,,,,,,,,,
HPL Express Discovery Green,,,,Houston,8323931375,,,,,,,,,,,,,,,,,,,,,,,
HPL Express Southwest,,,,Houston,8323932660,,,,,,,,,,,,,,,,,,,,,,,
African American Library at the Gregory School,,,,Houston,8323931440,,,,,,,,,,,,,,,,,,,,,,,
Houston Metropolitan Research Center,,,,Houston,8323931662,,,,,,,,,,,,,,,,,,,,,,,
HPL Mobile Express,,,,Houston,8323931533,,,,,,,,,,,,,,,,,,,,,,,
Harris County Public Library,"21,50,870",03-01-2019,02/28/2020,Houston-HCPL,7132746600,"$22,170,272","$2,314,067","$2,472,198","$173,875","$34,321,844",Yes,Yes,"14,62,558","42,111","2,23,252","36,133","19,08,324","34,64,764","17,14,733","35,77,385","22,37,271","1,03,12,778",Yes,"1,654","6,70,605","79,32,916",0,0
Crosby-Edith Fae Cook Cole Branch Library,,,,Crosby,2813281232,,,,,,,,,,,,,,,,,,,,,,,
Northwest Branch Library,,,,Cypress,8329275461,,,,,,,,,,,,,,,,,,,,,,,
Galena Park Branch Library,,,,Galena Park,8329275471,,,,,,,,,,,,,,,,,,,,,,,
Stratford Branch Library,,,,Highlands,8329275401,,,,,,,,,,,,,,,,,,,,,,,
Aldine Branch Library,,,,Houston,8329275411,,,,,,,,,,,,,,,,,,,,,,,
Katherine Tyra/Bear Creek Branch Library,,,,Houston,8329275591,,,,,,,,,,,,,,,,,,,,,,,
Fairbanks Branch Library,,,,Houston,8329277891,,,,,,,,,,,,,,,,,,,,,,,
Freeman Memorial Branch Library,,,,Houston,8329275421,,,,,,,,,,,,,,,,,,,,,,,
High Meadows Branch Library,,,,Houston,8329275541,,,,,,,,,,,,,,,,,,,,,,,
Jacinto City Branch Library,,,,Houston,8329275520,,,,,,,,,,,,,,,,,,,,,,,
Spring Branch Library,,,,Houston,8329275511,,,,,,,,,,,,,,,,,,,,,,,
West University Branch Library,,,,Houston,8329275491,,,,,,,,,,,,,,,,,,,,,,,
North Channel Branch Library,,,,Houston,8329275551,,,,,,,,,,,,,,,,,,,,,,,
Parker Williams Branch Library,,,,Houston,8329277871,,,,,,,,,,,,,,,,,,,,,,,
Baldwin Boettcher Branch Library,,,,Humble,8329275481,,,,,,,,,,,,,,,,,,,,,,,
Octavia Fields Branch Library,,,,Humble,8329275501,,,,,,,,,,,,,,,,,,,,,,,
Katy Branch Library,,,,Katy,2813913135,,,,,,,,,,,,,,,,,,,,,,,
Maud Smith Marks Branch Library,,,,Katy,2814928592,,,,,,,,,,,,,,,,,,,,,,,
Kingwood Branch Library,,,,Kingwood,8329277831,,,,,,,,,,,,,,,,,,,,,,,
La Porte Branch Library,,,,La Porte,2814700829,,,,,,,,,,,,,,,,,,,,,,,
Evelyn Meador Branch Library,,,,Seabrook,2814749142,,,,,,,,,,,,,,,,,,,,,,,
South Houston Branch Library,,,,South Houston,8329275534,,,,,,,,,,,,,,,,,,,,,,,
Barbara Bush Branch Library,,,,Spring,8329277801,,,,,,,,,,,,,,,,,,,,,,,
Tomball Branch Library,,,,Tomball,8325594200,,,,,,,,,,,,,,,,,,,,,,,
Atascocita Branch Library,,,,Humble,8329275561,,,,,,,,,,,,,,,,,,,,,,,
Cy-Fair College,,,,Cypress,2812903210,,,,,,,,,,,,,,,,,,,,,,,
HCPL Technology Center at Lincoln Park,,,,Houston,2814451617,,,,,,,,,,,,,,,,,,,,,,,
HCPL Technology Center at Finnegan Park,,,,Houston,7136787385,,,,,,,,,,,,,,,,,,,,,,,
Howe Community Library,"8,394",09-01-2019,08/31/2020,Howe,9037454050,"$103,633","$11,634",$0,"$30,987","$166,818",Yes,Yes,"19,888",352,512,127,"22,328","18,471","1,977","1,537",67,"25,070",Yes,10,"1,597",0,"1,809",39
Huntsville Public Library,"27,653",10-01-2019,09/30/2020,Huntsville,9362915472,"$358,406","$16,371","$7,965","$696,510","$729,017",Yes,Yes,"68,429","2,772","27,625","2,063","1,07,159","32,029","29,990","19,627","10,411","53,932",Yes,47,"6,994","25,689","1,172",24
Hurst Public Library,"38,655",10-01-2019,09/30/2020,Hurst,8177887300,"$1,354,659","$108,791","$89,009","$2,453,353","$2,454,646",Yes,Yes,"85,432","6,997","5,16,201","1,37,886","8,14,136","61,526","32,217","95,281","62,286","2,42,686",Yes,11,"13,523","70,144","2,112",40
Imperial Public Library,"1,272",01-01-2020,12/31/2020,Imperial,4325362236,"$50,716","$3,039",$0,$0,"$61,712",Yes,Yes,"17,388",245,0,0,"19,170","5,500",241,413,0,940,Yes,5,225,0,"1,680",52
Ingleside Public Library,"15,082",10-01-2019,09/30/2020,Ingleside,3617765355,"$252,754","$12,681",$0,"$319,399","$322,234",Yes,Yes,"32,322",602,0,74,"37,494","11,341","10,496","8,505",54,"11,947",Yes,24,"6,059",0,"2,104",44
Tom Burnett Memorial Library,"6,339",10-01-2019,09/30/2020,Iowa Park,9405924981,"$91,953","$19,307","$3,794","$153,487","$160,615",Yes,Yes,"17,798",318,"10,001",610,"32,025","18,160","3,147","11,436",0,"12,512",Yes,3,"2,467",0,"2,369",43
Iraan Public Library,"2,191",01-01-2020,12/31/2020,Iraan,4326392235,"$86,971","$9,934",$0,$0,"$107,894",Yes,Yes,"18,512",652,0,0,"20,558","2,862","1,281","2,298",0,"2,606",Yes,3,512,0,"1,984",49
Irving Public Library,"2,39,798",10-01-2019,09/30/2020,Irving,9727212628,"$5,888,468","$458,093","$352,740","$6,894,801","$7,217,133",Yes,Yes,"3,54,290","27,855","44,061","16,200","4,94,686","3,08,049","1,19,063","2,66,213","83,509","8,18,273",Yes,136,"47,492","3,03,123",0,0
West Irving Library,,,,Irving,9727212691,,,,,,,,,,,,,,,,,,,,,,,
East Branch Library,,,,Irving,9727212628,,,,,,,,,,,,,,,,,,,,,,,
Valley Ranch Library,,,,Irving,9727214669,,,,,,,,,,,,,,,,,,,,,,,
South Irving Library,,,,Irving,9727212606,,,,,,,,,,,,,,,,,,,,,,,
Gladys Johnson Ritchie Public Library,"8,935",01-01-2020,12/31/2020,Jacksboro,9405672240,"$47,764","$6,192","$1,800","$5,000","$127,971",Yes,Yes,"28,186",630,"10,606",572,"42,051","9,218","3,695","5,484","23,235","34,669",Yes,14,"5,310",645,"1,600",51
Jacksonville Public Library,"14,815",10-01-2019,09/30/2020,Jacksonville,9035867664,"$256,595","$31,110","$3,000","$370,394","$387,641",Yes,Yes,"49,584","1,688","24,488","4,478","83,778","33,095","1,431","22,149","5,030","43,975",Yes,38,"1,556","6,713","1,636",43
Jasper Public Library,"7,551",10-01-2019,09/30/2020,Jasper,4093843791,"$243,520","$28,142","$2,611","$309,460","$314,991",Yes,Yes,"33,036","2,213","25,205","2,320","64,790","21,743","8,862","7,489","5,631","16,192",Yes,24,"2,842",0,"1,280",43
Kent County Library,762,10-01-2019,09/30/2020,Jayton,8062373287,"$38,279","$3,094","$1,875",$0,"$84,665",Yes,Yes,"22,014",166,0,0,"22,182","1,984",683,"2,084",0,"3,660",Yes,1,94,0,"1,350",47
Johnson City Library,"5,696",01-01-2020,12/31/2020,Johnson City,8308684469,"$96,939","$6,838","$3,000","$323,653","$338,319",Yes,Yes,"16,391","1,107","22,270","4,188","45,554","8,434",889,"6,960","2,557","11,989",Yes,12,"1,669",0,"2,146",46
Jourdanton Community Library,"9,743",10-01-2019,09/30/2020,Jourdanton,8307693087,"$116,039","$8,486",$0,"$140,950","$145,325",Yes,Yes,"38,570","1,498",0,0,"40,113","9,394","5,015","17,901",0,"19,829",Yes,12,"1,843",0,"1,873",43
Kimble County Library,"4,337",01-01-2020,12/31/2020,Junction,3254462342,"$126,600","$14,039","$1,500","$5,400","$166,635",Yes,Yes,"14,267",682,"20,562","3,000","39,914","7,399","2,814","10,154","2,566","14,328",Yes,17,"1,200",0,966,23
Kaufman County Library,"23,601",10-01-2019,09/30/2020,Kaufman,9729326222,"$222,441","$20,889","$4,140","$15,000","$283,278",Yes,Yes,"33,737",672,"30,461","4,327","69,906","51,678","10,826","20,158","9,495","45,836",Yes,10,"10,458",0,"1,554",42
Keller Public Library,"47,213",10-01-2019,09/30/2020,Keller,8177434800,"$913,243","$106,650","$47,500","$1,544,363","$1,593,569",Yes,Yes,"61,192","3,328","37,501","16,266","1,32,760","1,29,129","31,137","3,42,446","28,045","5,59,039",Yes,38,"11,323","1,75,399","2,706",41
Kendalia Public Library,"4,768",01-01-2020,12/31/2020,Kendalia,8303362002,"$18,086","$3,055",$0,$0,"$45,194",Yes,Yes,"7,688",585,0,0,"9,228","1,373",343,"4,464",0,"8,022",Yes,4,333,315,979,52
Kenedy Public Library,"6,109",10-01-2019,09/30/2020,Kenedy,8305833313,"$109,397","$18,415","$9,540",$0,"$153,478",Yes,Yes,"20,164",288,"14,359","2,747","39,205","8,656","2,454","4,311","1,023","19,730",Yes,8,"1,370",0,"1,889",39
Winkler County Library,"8,010",01-01-2020,12/31/2020,Kermit,4325863841,"$194,995","$16,923","$2,288",$0,"$253,201",Yes,Yes,"25,619","1,095","18,961","2,782","48,540","30,912","1,500","5,800",0,"10,000",Yes,7,"6,512",812,"2,072",46
Wink Branch Library,,,,Wink,4325273691,,,,,,,,,,,,,,,,,,,,,,,
Butt-Holdsworth Memorial Library,"52,600",10-01-2019,09/30/2020,Kerrville,8302578422,"$534,047","$60,201","$32,088","$696,811","$901,975",Yes,Yes,"53,090","2,339","2,673","7,225","69,728","87,922","10,944","67,877","12,495","1,20,371",Yes,25,"7,628","26,559","2,154",44
Kerr Regional History Center,,,,Kerrville,8302581278,,,,,,,,,,,,,,,,,,,,,,,
Kilgore Public Library,"17,349",10-01-2019,09/30/2020,Kilgore,9039841529,"$286,453","$37,578","$7,727","$451,320","$471,020",Yes,Yes,"20,301","2,686","33,816","15,755","74,463","20,500","15,226","27,734","5,856","54,097",Yes,10,"2,178",0,"2,025",45
Killeen City Library System,"1,51,666",10-01-2019,09/30/2020,Killeen,2545018994,"$1,093,162","$67,332","$51,511","$1,357,790","$1,366,529",Yes,Yes,"1,29,889",897,"8,114","5,178","1,50,616","1,27,229","86,426","83,258","58,100","1,79,891",Yes,28,"21,213",0,"2,090",41
Copper Mountain Branch Library,,,,Killeen,2545018990,,,,,,,,,,,,,,,,,,,,,,,
Robert J Kleberg Public Library,"31,804",10-01-2019,09/30/2020,Kingsville,3615926381,"$430,571","$30,712","$11,906","$287,165","$573,712",Yes,Yes,"56,185","1,124","2,442",127,"60,102","27,500","41,093","7,411",902,"15,648",Yes,19,"3,101","14,475","2,136",52
Kirbyville Public Library,"3,850",10-01-2019,09/30/2020,Kirbyville,4094234653,"$120,841","$2,430",$0,"$152,554","$168,619",Yes,Yes,"19,078",420,0,0,"20,648","17,897","8,515","6,420",0,"11,870",Yes,13,"1,474",0,"1,472",46
Kyle Public Library,"60,985",10-01-2019,09/30/2020,Kyle,5122687411,"$627,944","$30,282","$7,500","$685,021","$732,634",Yes,Yes,"53,491","1,272","20,473","5,702","87,246","70,503","15,749","54,181","16,978","1,31,533",Yes,38,"9,530",0,"2,444",34
Bailey H Dunlap Memorial Library,"10,442",10-01-2019,09/30/2020,La Feria,9567971242,"$84,912","$26,000",$0,"$101,000","$180,250",No,Yes,"38,500","1,500",0,0,"42,100","19,685","8,000","17,632",0,"29,488",Yes,30,"16,549",0,944,25
Fayette Public Library,"4,677",10-01-2019,09/30/2020,La Grange,9799683765,"$280,893","$9,301","$1,800","$353,171","$353,171",Yes,Yes,"13,196","1,183","14,897","3,647","37,051","60,250","5,976","27,248","3,910","44,500",Yes,13,"3,256",0,"1,368",43
La Marque Public Library,"20,108",10-01-2019,09/30/2020,La Marque,4099389270,"$253,577","$12,640","$9,220","$271,383","$298,331",Yes,Yes,"28,117",232,"18,196","1,603","50,700","13,488","11,693","16,534","2,125","23,708",Yes,10,"4,674","7,634","1,078",31
Laguna Vista Public Library,"4,497",10-01-2019,09/30/2020,Laguna Vista,9569437155,"$76,405","$9,300","$1,500","$122,055","$128,555",Yes,Yes,"15,135",633,"29,134","3,953","52,391","2,237","3,542","1,131",148,"1,479",Yes,18,231,0,468,11
Lake Dallas Library,"8,063",10-01-2019,09/30/2020,Lake Dallas,9404973566,"$144,141","$11,699","$5,151","$202,902","$204,699",Yes,Yes,"17,404","1,540",997,"1,376","25,061","18,289","2,117","5,577","2,058","13,705",Yes,13,"2,352","8,810","1,083",27
Mary Lou Reddick Public Library,"4,896",10-01-2019,09/30/2020,Lake Worth,8172379681,"$230,321","$17,591","$3,875","$264,890","$266,693",Yes,Yes,"20,376",479,"16,237","5,357","43,581","13,520","15,973","13,794","8,506","28,973",Yes,10,"2,229",0,"1,720",43
Dawson County Public Library,"12,728",10-01-2019,09/30/2020,Lamesa,8068726502,"$228,848","$18,917","$2,000","$7,560","$298,701",Yes,Yes,"27,971","2,382","74,427","31,368","1,37,862","18,331","6,706","19,896","4,821","40,410",Yes,14,"3,010","1,326","1,779",43
Lampasas Public Library,"7,982",10-01-2019,09/30/2020,Lampasas,5125563251,"$186,998","$19,199","$1,500","$244,140","$253,415",Yes,Yes,"23,735",749,"24,722","6,614","57,800","32,439","4,128","15,794","5,229","45,979",Yes,13,"3,200","3,271","1,702",41
Laredo Public Library,"2,62,491",10-01-2019,09/30/2020,Laredo,9567952400,"$2,555,802","$241,026","$95,009","$3,969,722","$3,969,722",Yes,Yes,"2,74,178","11,290","1,69,941","52,061","5,32,677","1,57,592","2,18,137","27,751","19,676","1,53,208",Yes,196,"13,897","48,629","1,270",24
Bruni Plaza Branch Library,,,,Laredo,9567952400,,,,,,,,,,,,,,,,,,,,,,,
Cyber Mobile,,,,Laredo,9567952400,,,,,,,,,,,,,,,,,,,,,,,
Lamar Bruni Vergara Inner City Branch Library,,,,Laredo,9567952400,,,,,,,,,,,,,,,,,,,,,,,
