Library Name,Legal Service Area (Population Assignment),Start of Local Fiscal Year (LFY),End of Local Fiscal Year (LFY),Mail City,Library Phone,Total Staff Expenditures,Print Material Expenditures,Electronic Material Expenditures,City/Library District Capital Revenue,Total Capital Revenue,Electronically Searchable  Catalog,1% of Collection Published in Last Five Years?,Books in Print,Physical Audio Items,E-books,E-Audio,Total Collection Items,Annual Library Visits,Registered Library Users,Annual Circulation: All Other Ages Physical Items,Annual Circulation: All Other Ages Digital Items,Total Annual Circulation,Public Internet Computers Available,Number of Public Internet Computers,Annual Number of Computer Uses,Annual Website Visits,Annual Number of Public Service Hours,Annual Number Public Service Weeks
Hutto Public Library,"25,367",10-01-2017,9/30/2018,Hutto,5127594008,"$178,691","$21,303","$2,000","$222,996","$233,369",Yes,Yes,"25,544",650,"14,719","3,334","47,051","31,228","3,927","15,467","4,167","47,277",Yes,18,"6,324",0,"2,388",52
Johnson City Library,"5,550",01-01-2018,12/31/2018,Johnson City,8308684469,"$90,814","$7,279","$1,500","$115,865","$134,127",Yes,Yes,"16,701","1,108","13,530","4,891","37,674","16,201","2,329","9,016","1,516","15,999",Yes,13,"3,597",0,"2,805",52
Jonestown Community Library,"2,071",10-01-2017,9/30/2018,Jonestown,5122677511,"$106,445","$4,609","$1,500","$127,521","$131,140",Yes,Yes,"10,927",339,538,92,"13,046","9,201",780,"4,322",518,"6,494",Yes,8,"1,140","3,765","2,348",52
Killeen City Library System,"1,45,482",10-01-2017,9/30/2018,Killeen,2545018994,"$993,186","$103,313","$109,750","$1,445,411","$1,474,649",Yes,Yes,"1,29,370","4,043","5,480","2,958","1,51,315","2,56,475","86,521","1,39,724","45,259","2,60,290",Yes,28,"56,964",0,"2,699",52
Kyle Public Library,"54,242",10-01-2017,9/30/2018,Kyle,5122687411,"$569,844","$78,780","$7,996","$617,559","$724,975",Yes,Yes,"52,245","1,283","13,359","9,494","81,852","1,58,378","15,242","1,01,289","12,752","2,14,419",Yes,36,"43,605",0,"2,688",52
Fayette Public Library,"4,680",10-01-2017,9/30/2018,La Grange,9799683765,"$219,844","$12,000","$2,650","$302,715","$302,715",Yes,Yes,"13,567","1,000","14,719","3,334","37,408","80,000","6,088","33,759","2,792","57,948",Yes,19,"5,518",0,"1,891",52
Lago Vista Public Library,"6,815",10-01-2017,9/30/2018,Lago Vista,5122673868,"$152,647","$9,630","$3,000","$174,507","$196,985",Yes,Yes,"11,454",912,"14,357","3,336","32,148","21,681","2,167","20,356","5,042","32,001",Yes,10,"4,289",0,"2,386",52
Lake Travis Community Library,"32,953",07-01-2017,6/30/2018,Austin-Lakeway,5122632885,"$433,770","$78,716","$30,784","$1,066,427","$1,208,902",Yes,Yes,"42,621","3,364","14,814","3,325","70,638","1,29,620","24,666","2,04,294","26,437","3,83,180",Yes,23,"10,504","2,93,541","2,563",52
Lampasas Public Library,"7,826",10-01-2017,9/30/2018,Lampasas,5125563251,"$176,202","$20,853","$1,500","$236,710","$267,436",Yes,Yes,"20,078",660,"14,407","3,689","40,577","66,649","6,269","35,080","4,331","62,421",Yes,13,"12,577","2,282","2,272",52
Leander Public Library,"49,234",10-01-2017,9/30/2018,Leander,5122595259,"$345,277","$69,909","$19,038","$650,718","$650,718",Yes,Yes,"48,370","4,449","12,847","11,075","80,841","1,59,301","24,616","49,508","14,178","1,58,211",Yes,22,"16,457","31,497","3,692",52
Liberty Hill Public Library,"14,644",10-01-2017,9/30/2018,Liberty Hill,5127786400,"$201,954","$28,864","$3,010","$340,587","$366,912",Yes,Yes,"18,365",617,"13,554","3,349","39,401","70,009","6,341","38,186","5,480","1,04,964",Yes,4,"10,827",0,"2,392",52
Llano County Library System,"21,210",10-01-2017,9/30/2018,Llano,3252475248,"$390,563","$38,849","$3,055","$8,557","$478,029",Yes,Yes,"43,584","3,004","12,012","2,920","68,591","1,06,062","2,531","82,552","6,877","1,18,261",Yes,44,"10,840",0,"2,272",52
Dr Eugene Clark Library,"13,788",10-01-2017,9/30/2018,Lockhart,5123983223,"$395,975","$16,630","$11,221","$501,196","$517,079",Yes,Yes,"47,633","1,499","5,698",0,"56,123","65,368","20,102","20,159","1,998","40,721",Yes,26,"25,210",0,"2,860",52
JB Nickells Memorial Library,"5,903",04-01-2017,3/30/2018,Luling,8308752813,"$74,128","$20,904","$1,375","$122,822","$122,822",Yes,Yes,"18,596",115,138,0,"20,161","13,312","3,078","8,972","1,279","13,402",Yes,9,"3,074",0,"1,955",52
Madison County Library,"11,771",10-01-2017,9/30/2018,Madisonville,9363486118,"$209,531","$15,903",$0,$0,"$266,222",Yes,Yes,"21,229",616,0,0,"23,323","15,967","2,947","15,817",0,"24,977",Yes,16,"4,890",0,"1,700",52
Pauline and Jane Chilton Memorial Marlin Public Library,"5,701",10-01-2017,9/30/2018,Marlin,2548836602,"$27,529","$5,967",$0,"$20,250","$35,065",Yes,Yes,"15,857",432,0,0,"16,300","4,073","1,046","3,739",0,"4,467",Yes,8,"1,384",0,"1,006",51
Nancy Nail Memorial Library,"2,963",07-01-2017,6/30/2018,Mart,2548762465,"$25,077","$3,584","$1,200","$3,000","$59,000",Yes,Yes,"19,708",80,0,0,"20,547","3,105",395,"2,663",0,"3,652",Yes,5,795,812,953,51
Martindale Community Library,"1,266",01-01-2018,12/31/2018,Martindale,5123574492,$666,"$3,750",$0,"$15,000","$28,634",Yes,Yes,"8,790",4,0,0,"8,978","2,350",361,948,0,"1,101",Yes,3,132,0,"1,008",48
McGinley Memorial Public Library,"7,925",10-01-2017,9/30/2018,McGregor,2548403732,"$14,210","$7,015","$2,388","$14,000","$69,690",Yes,Yes,"18,907",887,"12,730",533,"34,701","5,975","2,375","14,856",73,"19,278",Yes,8,"1,510",0,"1,040",52
Meridian Public Library,"1,480",01-01-2018,12/31/2018,Meridian,2544359100,"$26,623",$787,"$1,500","$5,000","$70,762",Yes,Yes,"17,746",614,"13,200","2,800","35,482","6,599","2,769","3,154",650,"5,512",Yes,7,834,0,"1,470",51
Gibbs Memorial Library,"14,852",10-01-2017,9/30/2018,Mexia,2545623231,"$136,485","$20,561","$3,421","$187,987","$248,507",Yes,Yes,"39,681","1,248","7,315",552,"51,582","58,420","3,228","35,316","1,480","43,323",Yes,17,"10,080",0,"2,262",52
Moody Community Library,"2,139",01-01-2018,12/31/2018,Moody,2548532004,"$7,361",$881,$0,"$9,000","$23,662",Yes,Yes,"11,498",319,0,0,"12,466","4,459","1,489","2,948",0,"3,967",Yes,6,900,0,"1,240",52
Mount Calm Public Library,325,04-01-2017,3/30/2018,Mount Calm,2549932761,"$20,269","$7,218",$0,"$5,100","$26,242",Yes,Yes,"10,402",0,0,0,"11,386","2,295",183,"3,125",0,"3,940",Yes,8,256,0,966,44
Navasota Public Library,"26,461",10-01-2017,9/30/2018,Navasota,9368256744,"$126,486","$4,479",$0,"$126,486","$138,800",Yes,Yes,"31,368",142,"14,685","3,421","50,784","18,880","13,905","13,043",324,"14,455",Yes,14,"3,205",0,"2,175",52
Pflugerville Public Library,"63,359",10-01-2017,9/30/2018,Pflugerville,5129906375,"$981,093","$121,000","$87,000","$1,501,800","$1,511,300",Yes,Yes,"62,136","7,397","21,394","2,850","1,05,158","2,05,364","26,389","1,71,589","1,13,000","4,64,190",Yes,44,"33,319","1,61,721","3,120",52
Tri-Community Library,"1,467",09-01-2017,8/31/2018,Prairie Lea,5124882164,"$39,376","$3,716",$0,$0,"$47,372",Yes,Yes,"9,247",95,50,0,"9,392","8,500",848,953,0,"8,477",Yes,5,"1,080",0,"1,499",46
Lucy Hill Patterson Memorial Library,"5,643",10-01-2017,9/30/2018,Rockdale,5124463410,"$161,534","$7,629",$0,"$216,543","$216,543",Yes,Yes,"25,923",449,0,0,"26,904","11,154","12,180","8,627",0,"13,216",Yes,19,"5,759",0,"2,363",52
D Brown Memorial Library,"1,376",10-01-2017,9/30/2018,Rosebud,2545832328,"$23,190","$2,000","$1,000","$46,559","$46,559",Yes,Yes,"8,078",460,0,0,"9,366","5,000",250,"1,500",0,"1,950",Yes,10,"1,500",500,"1,456",52
Round Rock Public Library System,"1,23,678",10-01-2017,9/30/2018,Round Rock,5122187000,"$2,087,121","$183,755","$193,939","$2,765,647","$2,766,687",Yes,Yes,"1,61,924","15,782","7,335","4,156","2,04,290","3,88,732","66,001","3,49,364","71,523","12,29,141",Yes,60,"61,487","3,71,034","3,540",52
Round Top Family Library,91,01-01-2018,12/31/2018,Round Top,9792492700,"$45,670","$4,305","$1,903","$5,150","$89,512",Yes,Yes,"12,367",357,"14,179","3,334","32,364","24,531","2,259","3,635",276,"7,450",Yes,7,725,"5,079","1,248",52
Salado Public Library District,"8,159",09-01-2017,8/31/2018,Salado,2549479191,"$177,260","$23,707","$4,297","$356,562","$372,037",Yes,Yes,"21,754","1,749","14,719","3,334","45,493","50,300","8,483","24,151","3,428","41,965",Yes,24,"3,673","8,400","2,450",51
San Marcos Public Library,"78,681",10-01-2017,9/30/2018,San Marcos,5123938200,"$1,495,476","$124,772","$35,797","$1,661,330","$1,773,233",Yes,Yes,"1,51,503","3,918","12,007","9,010","1,90,192","3,83,529","45,546","2,22,732","40,614","4,91,559",Yes,38,"63,307",0,"3,501",52
Rylander Memorial Library,"5,959",10-01-2017,9/30/2018,San Saba,3253723079,"$38,235","$7,954","$1,500",$0,"$62,840",Yes,Yes,"16,238",943,"14,926","3,393","35,902","10,900","2,560","12,525","1,229","15,602",Yes,8,"1,198",0,"1,700",52
Schulenburg Public Library,"2,907",10-01-2017,9/30/2018,Schulenburg,9797433345,"$173,534","$7,876","$41,810","$214,110","$294,138",Yes,Yes,"40,765",462,"5,874",843,"51,249","21,138","4,106","22,357",937,"35,129",Yes,20,"4,869","14,673","2,276",52
Smithville Public Library,"16,599",10-01-2017,9/30/2018,Smithville,5122373282,"$221,367","$24,210","$2,954","$261,329","$301,692",Yes,Yes,"40,885","1,822","13,672","2,987","63,406","33,340","9,103","44,733","1,928","56,795",Yes,17,"7,482",7,"2,201",52
Spicewood Library,"6,340",10-01-2017,9/30/2018,Spicewood,8306937892,"$15,454","$2,904","$1,776",$0,"$48,470",Yes,Yes,"8,784",410,"15,935","3,750","29,760","4,178","1,823","1,267",908,"3,126",Yes,5,654,0,"1,139",52
Taylor Public Library,"16,982",10-01-2017,9/30/2018,Taylor,5123523434,"$355,703","$46,426",$0,"$456,212","$456,212",Yes,Yes,"55,098",433,"2,764","1,036","60,610","61,623","12,405","33,160","1,804","60,665",Yes,15,"16,074","28,836","2,635",52
Teague Public Library,"10,711",10-01-2017,9/30/2018,Teague,2547393311,"$81,528","$21,590",$0,"$140,133","$165,681",Yes,Yes,"22,031",70,0,0,"22,482","26,500","3,887","20,844",0,"23,519",Yes,6,"8,400",0,"2,359",52
Temple Public Library,"74,503",10-01-2017,9/30/2018,Temple,2542985555,"$1,138,056","$164,374","$12,474","$1,787,298","$1,792,700",Yes,Yes,"1,79,806","8,473","15,128","3,536","2,17,591","2,43,959","59,619","1,74,311","24,320","3,38,184",Yes,33,"34,562",0,"3,356",52
Valley Mills Public Library,"1,189",10-01-2017,9/30/2018,Valley Mills,2549326370,"$14,084","$1,012",$705,"$15,000","$25,800",Yes,Yes,"9,974",416,187,0,"10,965","4,661","3,105","3,978",30,"9,890",Yes,7,"3,884",0,"1,767",51
Waco-McLennan County Library,"2,11,275",10-01-2017,9/30/2018,Waco,2547505941,"$2,501,285","$439,840","$91,677","$3,099,166","$3,988,778",Yes,Yes,"2,83,397","18,204","4,065","1,886","3,29,724","3,77,911","71,218","3,29,672","30,796","6,58,698",Yes,152,"72,517","2,22,813","3,042",52
West Public Library,"4,593",01-01-2018,12/31/2018,West,2548263070,"$16,051","$9,858",$0,"$6,053","$31,877",Yes,Yes,"32,645",106,0,0,"33,753","16,134","3,498","5,036",0,"7,407",Yes,8,"1,868","3,493",997,52
Lake Whitney Library,"2,139",10-01-2017,9/30/2018,Whitney,2546944639,"$39,130","$8,590",$300,"$126,990","$131,947",Yes,Yes,"24,563",786,386,0,"26,419","23,985","9,856","20,428",318,"25,761",Yes,25,"5,956","13,000","1,768",52
Wimberley Village Library,"22,519",01-01-2018,12/31/2018,Wimberley,5128472188,"$256,819","$46,289","$20,293","$607,604","$690,235",Yes,Yes,"28,928","1,226","14,719","8,401","57,025","78,823","8,282","74,719","9,629","1,21,632",Yes,13,"10,696","16,270","2,704",52
Sergeant Fernando de la Rosa Memorial Library,"30,379",10-01-2017,9/30/2018,Alamo,9567876160,"$215,174","$6,000",$789,"$258,048","$264,837",Yes,Yes,"27,087",1,"77,531","2,568","1,08,098","71,073","32,431","7,572","2,568","21,983",Yes,22,"17,826",860,"3,029",52
Alicia Salinas Public Library,"39,963",10-01-2017,9/30/2018,Alice,3616649506,"$405,357","$41,952",$0,"$288,274","$505,344",Yes,Yes,"83,256","1,417",187,0,"86,496","26,607","11,084","6,834",0,"41,910",Yes,15,"9,767",0,"2,482",52
Ed & Hazel Richmond Public Library,"11,872",10-01-2017,9/30/2018,Aransas Pass,3617582350,"$133,462","$10,542","$3,000","$179,362","$191,231",Yes,Yes,"22,272",464,"19,460","2,258","45,440","19,592","7,594","10,340","1,314","13,737",Yes,19,"6,467",0,"2,036",46
Joe Barnhart Bee County Library,"25,208",10-01-2017,9/30/2018,Beeville,3613624901,"$291,794","$44,702","$25,972","$77,917","$553,182",Yes,Yes,"42,855","2,912","15,155","2,316","66,613","67,517","4,938","21,508","11,507","51,162",Yes,26,"15,984","18,000","2,912",52
Brownsville Public Library,"2,59,306",10-01-2017,9/30/2018,Brownsville,9565481055,"$2,642,164","$371,836","$394,433","$4,405,009","$4,451,358",Yes,Yes,"2,67,057","4,441","24,918","12,694","3,39,672","8,33,867","2,54,050","2,54,941","11,536","3,47,172",Yes,289,"1,84,983","2,89,054","3,354",52
Corpus Christi Public Libraries,"3,25,605",10-01-2017,9/30/2018,Corpus Christi,3618267070,"$2,207,441","$217,075","$104,746","$4,104,525","$4,169,368",Yes,Yes,"3,63,904","14,699","12,576","10,556","4,25,267","6,60,491","95,128","3,37,936","34,280","7,35,852",Yes,139,"1,43,336","4,54,386","2,236",52
Cuero Public Library,"12,186",10-01-2017,9/30/2018,Cuero,3612752864,"$152,414","$16,508","$1,500","$196,456","$199,697",Yes,Yes,"14,902","1,727",27,0,"17,676","19,192","11,623","13,323","1,289","24,621",Yes,16,"4,742",0,"2,028",52
Donna Public Library,"25,685",10-01-2017,9/30/2018,Donna,9564642221,"$247,891","$14,932","$6,500","$333,480","$348,413",Yes,Yes,"39,718",55,"56,227","12,338","1,09,606","54,275","1,318","1,424",584,"5,815",Yes,26,"24,934","1,246","3,072",52
Dustin Michael Sekula Memorial Library,"1,39,370",10-01-2017,9/30/2018,Edinburg,9563836246,"$1,519,221","$69,070","$15,349","$2,077,468","$2,092,755",Yes,Yes,"1,09,579","1,763","9,937","10,229","1,39,106","2,49,707","1,44,823","1,04,096","2,523","1,73,891",Yes,90,"1,66,410","2,33,941","3,483",52
Jackson County Memorial Library,"14,805",10-01-2017,9/30/2018,Edna,3617822162,"$123,792","$38,778","$2,211",$0,"$200,713",Yes,Yes,"23,234","1,687","12,245","2,233","40,468","24,005","3,467","13,797","2,916","29,304",Yes,12,"3,980","22,447","1,936",50
Elsa Public Library,"11,013",10-01-2017,9/30/2018,Elsa,9562623061,"$148,397","$8,875","$1,000","$229,848","$244,810",Yes,Yes,"23,121",371,"10,438","10,342","44,784","19,494","10,729","3,157",100,"8,382",Yes,34,"12,670","9,000","2,340",52
Ed Rachal Memorial Library,"7,235",10-01-2017,9/30/2018,Falfurrias,3613252144,"$33,289","$2,714",$0,$0,"$62,027",Yes,Yes,"39,224",0,0,0,"39,224","14,693","8,012","9,274",0,"9,795",Yes,8,"9,984",0,"2,080",52
Live Oak County Library,"11,105",01-01-2018,12/31/2018,George West,3614491124,"$97,203","$5,648",$0,$0,"$157,666",Yes,Yes,"34,137","1,049","13,609","1,821","53,077","20,482","5,866","6,503",388,"8,979",Yes,15,"3,951",0,"1,604",50
Goliad County Library,"7,562",10-01-2017,9/30/2018,Goliad,3616452291,"$104,595","$9,509","$1,000",$0,"$200,795",Yes,Yes,"22,273",107,"17,629","2,372","43,943","16,994","6,288","10,828","1,621","16,863",Yes,7,"1,068",0,"1,917",52
Gonzales Public Library,"7,628",01-01-2018,12/31/2018,Gonzales,8306726315,"$184,338","$32,837","$1,500","$343,433","$361,983",Yes,Yes,"30,515","1,043",581,436,"37,484","54,686","14,883","33,317","2,716","46,874",Yes,16,"9,582",0,"2,130",52
Friench Simpson Memorial Library,"2,616",01-01-2018,12/31/2018,Hallettsville,3617983243,"$136,495","$16,269",$0,"$188,318","$244,652",Yes,Yes,"23,262",862,"13,197","2,422","42,182","24,904","7,959","18,909","3,896","34,148",Yes,19,"2,306","49,756","1,668",51
Harlingen Public Library,"92,614",10-01-2017,9/30/2018,Harlingen,9562165800,"$786,287","$86,323","$40,673","$1,091,614","$1,178,987",Yes,Yes,"1,05,634","1,910","23,137","2,453","1,37,862","2,38,142","50,477","72,828","13,016","1,85,919",Yes,52,"45,381",0,"2,913",52
Hidalgo Public Library,"21,506",10-01-2017,9/30/2018,Hidalgo,9568432093,"$211,462","$5,250","$8,450","$285,766","$301,516",Yes,Yes,"26,224",157,"18,500","9,037","54,304","32,745","10,691","7,812",180,"13,012",Yes,95,"9,825",0,"2,550",52
Ingleside Public Library,"15,283",10-01-2017,9/30/2018,Ingleside,(361) 776-5355,"$198,062","$4,099",$0,"$255,088","$256,088",Yes,Yes,"40,584",698,0,0,"44,826","4,524","9,973","3,764",0,"4,706",Yes,24,"1,906",0,"1,582",33
Robert J Kleberg Public Library,"31,505",10-01-2017,9/30/2018,Kingsville,3615926381,"$420,056","$30,656","$8,356","$286,504","$581,041",Yes,Yes,"54,526",687,"1,970",111,"57,461","41,395","34,859","14,438",443,"32,522",Yes,19,"6,896","20,253","2,166",52
Bailey H Dunlap Memorial Library,"10,418",10-01-2017,9/30/2018,La Feria,9567971242,"$79,513","$26,000",$0,"$100,000","$172,500",No,Yes,"37,500",850,0,0,"40,150","41,059","7,000","27,148",0,"43,748",Yes,30,"28,500",0,"2,016",52
La Joya Municipal Library,"6,617",10-01-2017,9/30/2018,La Joya,9565814533,"$81,268","$4,350",$0,"$91,425","$106,407",Yes,Yes,"32,450",721,"10,433","10,338","54,907","11,522",207,"6,590",55,"10,430",Yes,26,"8,948",0,"2,815",52
Laguna Vista Public Library,"4,527",10-01-2017,9/30/2018,Laguna Vista,9569437155,"$71,554","$12,000",$0,"$116,354","$127,804",Yes,Yes,"15,112",611,"13,127","4,679","36,670","8,875","3,302","9,059","1,145","11,191",Yes,18,"1,175",0,"2,115",52
Laredo Public Library,"2,60,654",10-01-2017,9/30/2018,Laredo,9567952400,"$2,487,584","$363,386","$254,783","$4,012,460","$4,012,460",Yes,Yes,"2,65,789","10,319","1,06,149","27,733","4,30,013","4,09,332","2,09,530","49,249","10,962","2,22,941",Yes,162,"91,072","59,106","3,150",52
Ethel L Whipple Memorial Library,"11,077",10-01-2017,9/30/2018,Los Fresnos,9562335330,"$121,576","$6,617","$1,500","$158,886","$173,205",Yes,Yes,"27,102",101,"15,700","2,428","45,941","37,214","17,666","11,028","4,255","20,618",Yes,18,"13,580","12,355","1,988",52
Mathis Public Library,"7,136",01-01-2018,12/31/2018,Mathis,3615476201,"$31,170","$2,876",$68,"$24,000","$58,750",Yes,Yes,"19,848",64,0,0,"20,333","11,100","8,995","3,193",0,"4,596",Yes,12,"2,758",0,"1,665",52
McAllen Public Library,"2,20,287",10-01-2017,9/30/2018,McAllen,9566813000,"$3,101,733","$120,588","$38,294","$4,145,449","$4,173,538",Yes,Yes,"2,94,768","8,154","20,520","4,235","3,43,404","6,76,192","1,24,456","2,13,178","30,021","4,90,134",Yes,281,"1,03,081","5,09,070","3,719",52
Dr Hector P Garcia Memorial Library,"25,833",10-01-2017,9/30/2018,Mercedes,9565652371,"$335,930","$18,050","$2,678","$455,295","$485,944",Yes,Yes,"36,973",90,"10,606","10,338","59,432","49,801","12,531","11,060",403,"17,518",Yes,33,"15,046","2,226","2,664",52
Speer Memorial Library,"1,30,329",10-01-2017,9/30/2018,Mission,9565808750,"$956,653","$62,045","$3,994","$1,275,139","$1,277,142",Yes,Yes,"1,25,251","4,904","10,682","10,338","1,56,990","2,15,735","12,830","45,113","1,855","73,800",Yes,282,"91,722",0,"3,745",52
Penitas Public Library,"7,543",10-01-2017,9/30/2018,Penitas,(956) 999-8312,"$122,588","$3,500","$2,000","$152,261","$171,398",Yes,Yes,"18,003",96,"10,433","10,338","39,169","33,156","3,238","2,999",88,"7,248",Yes,28,"6,055","5,841","2,469",50
Pharr Memorial Library,"1,22,708",10-01-2017,9/30/2018,Pharr,9564024650,"$1,003,700","$125,000","$4,200","$1,513,000","$1,532,983",Yes,Yes,"87,015","2,264","10,433","10,338","1,13,468","2,23,637","73,789","74,234",40,"1,12,456",Yes,123,"1,11,310",0,"3,587",52
William R Bill Ellis Memorial Library,"4,143",10-01-2017,9/30/2018,Port Aransas,3617494116,"$160,516","$22,836","$2,090","$181,092","$203,141",Yes,Yes,"4,435",88,"14,826","2,369","22,146",0,"5,541",0,"2,625","2,740",No,0,0,0,0,0
Port Isabel Public Library,"7,158",10-01-2017,9/30/2018,Port Isabel,9569431822,"$129,741","$15,667",$799,"$228,229","$235,997",Yes,Yes,"30,501",655,"12,587","4,283","50,370","67,567","23,294","12,264","25,360","42,958",Yes,39,"6,595",0,"2,266",52
Calhoun County Public Library,"21,744",01-01-2018,12/31/2018,Port Lavaca,3615527323,"$435,731","$46,606","$8,248",$0,"$648,363",Yes,Yes,"88,267","2,600","73,614","2,959","1,73,722","69,925","9,080","35,310","2,205","59,835",Yes,63,"9,228","37,598","1,994",50
Bell/Whittington Public Library,"25,646",10-01-2017,9/30/2018,Portland,3617774560,"$332,155","$39,957","$17,205","$495,836","$520,722",Yes,Yes,"34,959","1,532","3,824",432,"45,700","79,601","25,422","1,42,872","92,541","2,64,711",Yes,26,"16,158",0,"2,808",52
Dennis M O'Connor Public Library,"7,224",10-01-2017,9/30/2018,Refugio,3615262608,"$97,651","$6,703","$1,000",$0,"$121,232",Yes,Yes,"15,866",437,"15,265","2,306","34,889","12,946","1,527","6,053",242,"9,135",Yes,6,"1,881",0,"2,204",49
Rio Grande City Public Library,"14,518",10-01-2017,9/30/2018,Rio Grande City,9564874389,"$207,198","$17,600","$10,000","$296,960","$302,860",Yes,Yes,"17,500",210,"15,000","1,050","34,514","32,303","7,525","7,013",621,"12,830",Yes,18,"8,285",0,"2,512",52
Rio Hondo Public Library,"3,927",10-01-2017,9/30/2018,Rio Hondo,9567483322,"$12,697",$104,$0,"$41,432","$42,369",Yes,Yes,"12,779",60,829,333,"14,580","4,422","2,997",784,0,"1,462",Yes,15,"1,665",0,"1,300",50
Nueces County Keach Family Library,"31,459",10-01-2017,9/30/2018,Robstown,3613873431,"$475,560","$28,951","$6,000",$0,"$823,052",Yes,Yes,"45,660","1,264","5,512",433,"60,830","1,28,680","14,994","77,129","76,382","2,32,262",Yes,80,"10,332","1,27,307","2,443",52
Aransas County Public Library,"24,780",01-01-2018,12/31/2018,Rockport,3617900153,"$180,070","$26,421",$0,$0,"$224,625",Yes,Yes,"41,832",581,"1,782",421,"45,156","14,783","11,458","14,333","6,723","25,880",Yes,8,"4,981",0,"2,424",52
San Benito Public Library,"34,699",10-01-2017,9/30/2018,San Benito,9563613860,"$208,148","$16,000","$6,000","$346,816","$346,816",Yes,Yes,"36,242",0,0,0,"41,562","77,917","38,004","16,492",0,"25,369",Yes,24,"14,550",0,"2,860",52
Duval County/San Diego Public Library,"12,181",10-01-2017,9/30/2018,San Diego,3612798201,"$60,073","$4,000","$1,000","$19,862","$64,862",Yes,Yes,"20,000",75,0,0,"20,575","10,000","7,500",905,0,"3,705",Yes,33,"5,470",0,"1,410",50
San Juan Memorial Library,"57,089",10-01-2017,9/30/2018,San Juan,9567020926,"$256,421","$8,010",$0,"$307,142","$339,340",Yes,Yes,"37,240",164,"9,463","9,037","59,540","36,371","21,174","8,836","14,646","36,907",Yes,60,"14,362","6,12,017","2,962",51
Shiner Public Library,"2,161",05-01-2017,4/30/2018,Shiner,3615943044,"$100,222","$9,020",$0,"$128,928","$137,093",Yes,Yes,"15,058",667,0,0,"16,994","16,555","4,081","15,140",0,"26,530",Yes,4,"4,630",0,"2,203",52
Sinton Public Library,"8,084",10-01-2017,9/30/2018,Sinton,3613644545,"$175,539","$11,137",$0,"$215,479","$219,620",Yes,Yes,"21,344",329,0,0,"22,548","16,103","7,201","6,426",0,"12,046",Yes,12,"4,656",0,"2,476",52
Victoria Public Library,"92,084",10-01-2017,9/30/2018,Victoria,3614853304,"$1,282,163","$162,594","$102,142","$2,217,908","$2,242,018",Yes,Yes,"1,18,980","11,731","21,296","3,002","1,70,226","1,98,207","41,640","2,21,069","21,567","3,52,101",Yes,39,"70,259","85,770","2,962",52
Mayor Joe V Sanchez Public Library,"62,303",10-01-2017,9/30/2018,Weslaco,9569684533,"$501,189","$41,630","$19,563","$785,907","$809,881",Yes,Yes,"81,068","2,173","10,438","10,342","1,05,734","2,71,183","42,420","16,627","3,586","50,103",Yes,75,"70,403",0,"3,144",52
Carl & Mary Welhausen Library,"5,960",10-01-2017,9/30/2018,Yoakum,3612935001,"$99,308","$13,119","$1,000","$139,887","$165,829",Yes,Yes,"12,403",570,"17,227","2,357","34,664","25,457","3,018","15,341",636,"21,487",Yes,10,"4,241",0,"2,253",52
Yorktown Public Library,"2,080",10-01-2017,9/30/2018,Yorktown,3615643232,"$20,217","$1,012",$250,"$38,812","$42,044",Yes,Yes,"21,450",410,"19,033","1,542","44,843","7,501",819,"5,944",0,"10,143",Yes,8,"2,456",0,"1,185",49
Olga V Figueroa Zapata County Public Library,"14,322",01-01-2018,12/31/2018,Zapata,9567655351,"$118,613","$18,790",$0,$0,"$125,477",Yes,Yes,"36,650",975,0,0,"38,778","23,000","12,516","31,046",0,"36,766",Yes,29,"5,482",0,"2,160",48
Alpine Public Library,"8,190",01-01-2018,12/31/2018,Alpine,4328372621,"$152,131","$6,973",$0,"$40,000","$219,218",Yes,Yes,"20,288",765,0,0,"22,919","45,588","9,237","87,566",0,"94,907",Yes,15,"15,131","97,593","2,152",52
Clint ISD Public Library,"43,559",09-01-2017,8/31/2018,Clint-El Paso,9159268017,"$116,070","$2,916","$1,636",$400,"$130,291",Yes,Yes,"17,191",155,133,0,"17,856","11,085","2,479","11,900",135,"13,495",Yes,34,"8,200",0,"1,688",46
El Paso Public Library,"6,83,577",09-01-2017,8/31/2018,El Paso,9152127323,"$6,897,044","$941,054","$430,629","$9,440,503","$9,656,313",Yes,Yes,"6,44,308","29,099","38,382","4,092","7,80,719","16,66,101","1,86,888","10,94,779","1,01,836","20,55,086",Yes,683,"6,23,681","7,02,152","2,856",52
Jeff Davis County Library,"2,280",01-01-2018,12/31/2018,Fort Davis,4324263802,"$57,341","$19,417",$0,$0,"$97,661",Yes,Yes,"14,937","1,269",0,0,"19,718","11,790",596,"23,129",0,"31,190",Yes,8,"3,141","1,344","2,080",52
Fort Hancock ISD/Public Library,"4,408",09-01-2017,8/31/2018,Fort Hancock,9157393811,"$125,114","$18,178",$0,$0,"$149,465",Yes,Yes,"28,310",10,106,0,"28,542","89,521",497,"21,452",38,"38,883",Yes,28,"13,781",0,"1,656",45
Fort Stockton Public Library,"12,246",01-01-2018,12/31/2018,Fort Stockton,4323363374,"$332,031","$20,662",$500,"$5,000","$377,188",Yes,Yes,"57,764","1,896",30,0,"62,758","55,881","9,647","24,183",60,"43,599",Yes,12,"20,506","25,892","2,628",52
