Library Name,Legal Service Area (Population Assignment),Start of Local Fiscal Year (LFY),End of Local Fiscal Year (LFY),Mail City,Library Phone,Total Staff Expenditures,Print Material Expenditures,Electronic Material Expenditures,City/Library District Capital Revenue,Total Capital Revenue,Electronically Searchable  Catalog,1% of Collection Published in Last Five Years?,Books in Print,Physical Audio Items,E-books,E-Audio,Total Collection Items,Annual Library Visits,Registered Library Users,Annual Circulation: All Other Ages Physical Items,Annual Circulation: All Other Ages Digital Items,Total Annual Circulation,Public Internet Computers Available,Number of Public Internet Computers,Annual Number of Computer Uses,Annual Website Visits,Annual Number of Public Service Hours,Annual Number Public Service Weeks
Comanche Public Library,"8,952",10-01-2021,09/30/2022,Comanche,3253562122,"$1,29,911","$26,573","$2,000","$83,754","$2,49,125",Y,Y,"22,174",153,"2,454",80,"24,862","10,145","4,006","4,812","1,931","9,357",Y,5,"1,953",0,"1,730",51
Comfort Public Library,"16,318",01-01-2022,12/31/2022,Comfort,8309952398,"$1,23,941","$23,240","$12,421",$0,"$2,19,955",Y,Y,"26,799",477,"35,542","4,375","68,560","11,551","2,234","4,130","3,643","13,855",Y,19,914,"1,596","1,832",51
Commerce Public Library,"20,972",10-01-2021,09/30/2022,Commerce,9038866858,"$85,158","$8,236","$6,332","$43,500","$1,37,625",Y,Y,"19,875",838,"44,057","5,325","70,797","9,971","11,316","3,606","2,921","10,207",Y,6,"1,346",0,"2,009",49
Montgomery County Memorial Library System,"6,19,467",10-01-2021,09/30/2022,Conroe,9367888377,"$82,06,767","$5,64,009","$3,59,351",$0,"$1,05,92,110",Y,Y,"5,62,507","38,996","5,95,624","4,25,987","16,84,643","6,56,351","3,40,708","9,63,240","4,33,315","26,51,209",Y,224,"47,182","81,37,349","2,987",52
Converse Public Library,"28,643",10-01-2021,09/30/2022,Converse,2106594160,"$2,85,995","$37,294","$6,836","$3,73,267","$3,87,333",Y,Y,"20,888",225,"29,012","3,683","56,902","38,690","5,762","8,055","1,634","31,583",Y,12,"6,161",0,"2,407",52
Cozby Library and Community Commons,"42,223",10-01-2021,09/30/2022,Coppell,9723043655,"$15,52,012","$1,55,000","$67,409","$20,00,488","$20,30,368",Y,Y,"68,057","1,456","1,61,866","75,464","3,12,386","1,80,657","43,325","1,37,586","61,956","5,10,782",Y,20,"6,492","33,673","3,456",52
Copperas Cove Public Library,"37,041",10-01-2021,09/30/2022,Copperas Cove,2545473826,"$3,44,540","$10,518","$3,950","$4,72,014","$4,79,667",Y,Y,"45,152","1,552","31,901","5,184","86,353","49,820","16,561","23,224","9,046","70,961",Y,21,"12,000","30,752","2,490",52
Corpus Christi Public Libraries,"3,17,773",10-01-2021,09/30/2022,Corpus Christi,3618267070,"$32,09,133","$3,04,263","$1,33,470","$54,98,339","$55,74,932",Y,Y,"3,34,313","15,089","21,519","22,930","4,22,149","3,30,094","78,094","2,24,986","53,249","5,94,979",Y,115,"53,275","8,49,290","1,995",47
Mickey Reily Public Library,"1,480",10-01-2021,09/30/2022,Corrigan,9363984156,"$1,21,955","$5,850",$0,"$1,57,345","$1,61,972",Y,Y,"22,052",903,0,0,"24,037","4,410","5,021","1,272",0,"1,739",Y,10,"2,038",0,"1,968",49
Corsicana Public Library,"25,203",10-01-2021,09/30/2022,Corsicana,9036544810,"$2,86,287","$37,640","$6,000","$4,22,751","$4,35,500",Y,Y,"74,873","1,804","32,206","24,232","1,36,512","62,524","26,197","31,431","8,469","57,644",Y,10,"4,744",0,"2,080",52
Alexander Memorial Library,"6,670",01-01-2022,12/31/2022,Cotulla,8308792601,"$67,765","$7,248",$900,"$60,000","$2,38,159",Y,Y,"16,923",170,"28,909","3,991","51,787","2,075","3,075","2,541",0,"3,653",Y,5,858,0,"1,380",46
Crandall-Combine Community Library,"21,832",09-01-2021,08/31/2022,Crandall,9724276120,"$1,28,098","$22,748","$4,550","$4,800","$1,65,133",Y,Y,"25,174",349,"37,169","7,711","70,803","41,540","4,728","5,165","1,198","13,619",Y,8,145,0,"1,999",47
Crane County Library,"4,680",10-01-2021,09/30/2022,Crane,4325581142,"$2,04,126","$15,451","$1,722",$0,"$2,85,155",Y,Y,"18,464",501,"18,540","4,181","43,630","18,480",920,"3,984",598,"9,220",Y,11,"6,400",0,"1,824",52
JH Wootters Crockett Public Library,"6,406",10-01-2021,09/30/2022,Crockett,9365443089,"$1,15,659","$34,074","$5,820","$1,57,144","$1,73,929",Y,Y,"47,144",804,"22,413","3,401","76,235","25,447","8,036","16,345","1,925","28,649",Y,12,"15,544","1,254","2,132",52
Crosby County Library,"5,106",10-01-2021,09/30/2022,Crosbyton,8066752673,"$75,179","$3,707","$1,500","$5,820","$1,04,815",Y,Y,"25,386",372,"32,814","3,899","62,548","4,409","1,639","5,170",774,"7,543",Y,20,772,"1,145","1,369",52
Cross Plains Public Library,"2,696",01-01-2022,12/31/2022,Cross Plains,2547257722,"$14,633","$1,377",$565,"$6,175","$56,694",Y,Y,"18,806",698,"1,32,484","45,030","1,97,699","2,973","4,126","2,159",742,"3,207",Y,6,176,0,940,51
Foard County Library,"1,080",01-01-2022,12/31/2022,Crowell,9406841250,"$26,733","$3,000",$500,"$11,200","$41,433",Y,Y,"14,320",125,0,0,"15,655","8,025","1,010","8,625",0,"11,125",Y,6,"3,200",0,"1,250",50
Crowley Public Library,"19,333",10-01-2021,09/30/2022,Crowley,8172976707,"$4,76,254","$24,007","$3,800","$5,99,927","$5,99,927",Y,Y,"53,240","2,819","20,272","12,824","96,189","35,602","19,743","38,549","4,723","89,690",Y,16,"1,890",0,"2,055",52
Cuero Public Library,"8,235",10-01-2021,09/30/2022,Cuero,3612752864,"$1,73,520","$14,591","$1,500","$2,16,996","$2,25,285",Y,Y,"10,967",585,"38,430","8,444","59,662","11,908","2,846","12,086","2,160","20,107",Y,16,"2,584",0,"2,380",52
Daingerfield Public Library,"2,510",10-01-2021,09/30/2022,Daingerfield,9036452823,"$54,243","$8,846",$0,"$77,869","$81,005",Y,Y,"11,232",209,0,0,"12,048","7,800","3,078","2,125",0,"3,525",Y,5,"1,500",0,"2,080",52
Dallam-Hartley County Library,"12,569",10-01-2021,09/30/2022,Dalhart,8062442761,"$1,17,237","$14,214","$1,212",$0,"$1,73,934",Y,Y,"19,739",948,"6,738","2,293","30,894","6,501","2,412","9,139",487,"18,002",Y,5,"1,208","3,501","1,976",52
Dallas Public Library,"12,88,457",10-01-2021,09/30/2022,Dallas,2146701400,"$1,90,14,404","$17,58,715","$20,48,846","$3,15,86,813","$3,20,81,199",Y,Y,"21,66,998","78,031","8,11,482","5,42,491","39,53,867","5,51,818","6,24,106","23,23,946","9,76,980","50,44,638",Y,611,"1,54,459","19,98,322","2,080",52
Jones Public Library,"9,134",10-01-2021,09/30/2022,Dayton,9362587060,"$1,94,221","$10,749","$4,277","$2,22,152","$2,29,791",Y,Y,"20,999",997,"2,200",435,"25,668","28,451","5,279","8,904","2,373","21,762",Y,27,"2,780","5,055","2,244",52
Decatur Public Library,"28,980",10-01-2021,09/30/2022,Decatur,9403930290,"$4,51,820","$22,956","$3,951","$5,20,872","$5,76,561",Y,Y,"40,130","2,846","21,356","7,657","76,078","18,783","19,496","21,723","14,168","70,536",Y,10,"3,747","15,172","2,228",51
Deer Park Public Library,"33,676",10-01-2021,09/30/2022,Deer Park,2814787208,"$8,71,870","$64,532","$62,916","$11,22,947","$11,22,947",Y,Y,"74,962","1,140","78,918","25,397","1,86,680","39,666","43,725","30,464","23,467","93,443",Y,28,"7,293","19,330","2,374",52
DeLeon City County Library,"4,823",01-01-2022,12/31/2022,De Leon,2548932417,"$36,288","$5,135",$785,"$32,795","$59,382",Y,Y,"8,833",316,"73,851","48,493","1,32,519","4,850","1,256","3,489",784,"4,656",Y,5,"1,257",0,"1,485",52
Val Verde County Library,"47,564",10-01-2021,09/30/2022,Del Rio,8307747595,"$5,53,718","$68,386","$7,078",$0,"$7,30,225",Y,Y,"50,529","1,590","1,417","2,535","58,904","42,533","26,834","21,917","3,705","50,081",Y,29,"16,055",0,"2,704",52
East Travis Gateway Library District,"36,254",01-01-2022,12/31/2022,Del Valle,5122431981,"$3,28,468","$34,136","$16,742","$23,47,642","$23,57,690",Y,Y,"12,898",8,"42,637","9,130","65,479","9,823","6,833","2,029","2,758","9,819",Y,10,"1,265","10,904","2,082",50
Denison Public Library,"25,179",10-01-2021,09/30/2022,Denison,9034651797,"$6,74,158","$44,070","$7,479","$8,42,124","$9,31,624",Y,Y,"27,015",631,"6,48,493","4,54,135","11,90,372","58,827","2,795","31,108","11,506","70,546",Y,10,"7,257","29,682","2,358",52
Denton Public Library,"1,48,146",10-01-2021,09/30/2022,Denton,9403498752,"$40,67,381","$2,98,369","$2,97,268","$66,56,369","$67,09,519",Y,Y,"1,90,142","15,569","17,497","21,721","2,79,016","3,68,360","1,17,153","3,68,278","1,63,550","9,91,683",Y,78,"41,291","2,98,608","3,177",52
Yoakum County/Cecil Bickley Library,"4,508",01-01-2022,12/31/2022,Denver City,8065922754,"$2,23,087","$20,691","$1,580",$0,"$3,01,758",Y,Y,"35,310","1,707","18,419","4,175","64,024","21,574","5,872","5,984","2,171","14,559",Y,12,"4,001","1,095","2,107",52
DeSoto Public Library,"55,729",10-01-2021,09/30/2022,DeSoto,9722309665,"$15,92,562","$99,000","$25,000","$14,94,469","$14,95,209",Y,Y,"46,708","1,791","3,803","6,227","67,943","68,038","19,059","10,902","1,185","56,406",Y,48,"23,942","25,638","2,901",52
Driscoll Public Library,"4,410",10-01-2021,09/30/2022,Devine,8306632993,"$93,012","$4,575","$1,000","$1,39,236","$1,59,953",Y,Y,"14,269",575,"31,078","4,442","52,544","13,458","1,473","4,434","2,088","12,301",Y,10,"3,015",0,"1,780",47
TLL Temple Memorial Library & Archives,"4,449",01-01-2022,12/31/2022,Diboll,9368295497,"$2,50,313","$12,530","$1,500","$18,000","$4,55,216",Y,Y,"35,955",478,"36,341","3,393","78,040","10,500","5,575","7,430","3,300","17,910",Y,14,"1,494",0,"2,244",51
Dickinson Public Library,"24,726",10-01-2021,09/30/2022,Dickinson,2815343812,"$4,10,299","$73,584","$5,330","$5,65,398","$6,04,738",Y,Y,"20,424",525,"35,485","3,454","62,389","40,606","18,706","14,667","3,661","39,264",Y,12,"2,140","19,665","2,300",50
Dilley Public Library,"3,310",10-01-2021,09/30/2022,Dilley,8309651951,"$1,01,175","$4,880","$1,854","$1,49,034","$1,50,184",Y,Y,"13,212",120,"25,712",100,"39,304","1,514","1,937","1,885",55,"3,470",Y,15,722,0,"2,080",36
Rhoads Memorial Library,"7,374",10-01-2021,09/30/2022,Dimmitt,8066473532,"$89,521","$6,374","$3,672","$62,000","$1,32,441",Y,Y,"19,023","3,898","5,982","1,941","32,358","7,468","1,826","3,404",379,"6,835",Y,7,"3,236","10,315","1,878",48
Donna Public Library,"25,845",10-01-2021,09/30/2022,Donna,9564642221,"$2,62,640","$8,250","$7,858","$3,29,265","$3,43,853",Y,Y,"52,853",210,"37,029","8,925","1,00,718","49,626","5,339","1,705","9,800","19,980",Y,26,"4,400",0,"2,930",52
Dripping Springs Community Library,"52,117",01-01-2022,12/31/2022,Dripping Springs,5128587825,"$5,72,276","$44,186","$2,07,042","$13,85,237","$14,54,053",Y,Y,"45,696","2,040","12,481","8,467","72,782","78,822","10,484","49,752","33,690","1,84,302",Y,19,"3,167","55,128","2,870",50
Dublin Public Library,"3,433",10-01-2021,09/30/2022,Dublin,2544454141,"$90,768","$1,116","$3,325","$1,15,439","$1,77,490",Y,Y,"15,504",682,"19,699","12,004","49,749","12,286","5,725","11,818","2,165","21,264",Y,35,"1,040",0,"1,951",52
Killgore Memorial Library,"21,118",10-01-2021,09/30/2022,Dumas,8069354941,"$4,43,654","$28,555","$5,377",$0,"$5,68,202",Y,Y,"38,065","2,617","6,738","2,293","61,327","36,705","2,182","9,973",508,"20,615",Y,22,"2,607","14,453","2,197",52
Duncanville Public Library,"39,797",10-01-2021,09/30/2022,Duncanville,9727805050,"$7,52,429","$69,810","$10,650","$9,90,500","$9,92,000",Y,Y,"82,992","5,173","4,508","3,765","1,05,630","80,606","12,120","34,991","7,030","69,864",Y,17,"16,823",0,"1,867",52
Eula & David Wintermann Library,"5,424",07-01-2021,06/30/2022,Eagle Lake,9792345411,"$84,926","$7,709","$1,500","$7,250","$1,15,234",Y,Y,"27,631","1,984","16,619","1,960","48,833","6,604","4,575","3,428",152,"4,965",Y,11,"1,225",0,"1,864",52
Eagle Pass Public Library,"43,107",10-01-2021,09/30/2022,Eagle Pass,8307737323,"$5,48,467","$15,344","$21,977","$6,92,078","$7,16,340",Y,Y,"34,755",779,"17,837","5,557","59,835","24,832","8,231","6,146","1,029","15,565",Y,2,"3,904",0,"1,952",52
Springlake-Earth Community Library,"1,581",09-01-2021,08/31/2022,Earth,8062573357,"$61,419","$9,871","$2,220","$1,000","$1,00,941",Y,Y,"18,427",0,"17,283",531,"36,461","23,199","1,658","4,735","7,751","26,490",Y,1,5,0,"2,450",49
Centennial Memorial Library,"3,621",01-01-2022,12/31/2022,Eastland,2546292281,"$25,013","$6,855",$459,"$26,368","$1,13,173",Y,Y,"9,418",217,"1,76,021","75,464","2,61,923","5,628","2,325","5,344","1,293","11,605",Y,7,373,"1,513","1,050",51
Dustin Michael Sekula Memorial Library,"1,57,460",10-01-2021,09/30/2022,Edinburg,9563836246,"$17,46,656","$60,219","$20,580","$23,29,719","$23,67,988",Y,Y,"1,09,889","1,582","23,899","3,646","1,48,870","1,15,497","1,51,444","48,284","6,406","1,30,145",Y,90,"48,147","50,316","3,250",52
Jackson County Memorial Library,"15,121",10-01-2021,09/30/2022,Edna,3617822162,"$1,41,350","$29,268","$2,000",$0,"$2,15,950",Y,Y,"23,668","1,668","24,138","8,444","58,969","18,782","4,201","8,417","2,702","24,157",Y,10,"2,383","5,572","1,982",52
Schleicher County Public Library,"2,429",01-01-2022,12/31/2022,Eldorado,3258533767,"$30,311","$9,217","$1,500","$1,000","$56,194",Y,Y,"10,293",406,"8,792","1,037","22,152","4,962","1,249","3,036",220,"5,167",Y,13,527,0,"1,246",52
Electra Public Library,"2,282",10-01-2021,09/30/2022,Electra,9404952208,"$85,628","$2,981","$1,000","$99,190","$99,190",Y,Y,"23,323","1,538","10,270",865,"42,039","2,537","1,253","16,532","15,980","36,869",Y,16,"1,313","1,636","1,984",50
Elgin Public Library,"10,549",10-01-2021,09/30/2022,Elgin,5122815678,"$2,46,009","$22,207",$319,"$5,03,082","$5,36,394",Y,Y,"27,607","1,173","41,562","8,563","80,808","22,360","8,431","35,037","2,616","77,397",Y,9,"4,022",0,"2,029",52
El Paso Public Library,"6,78,415",09-01-2021,08/31/2022,El Paso,9152127323,"$57,77,100","$6,03,353","$4,19,434","$79,78,412","$81,81,399",Y,Y,"6,59,515","30,845","32,092","16,610","8,25,072","3,86,375","1,13,530","3,88,016","1,36,832","9,38,684",Y,424,"48,781","3,85,750","3,525",52
Elsa Public Library,"8,727",10-01-2021,09/30/2022,Elsa,9562623061,"$1,64,897","$6,800",$800,"$2,58,037","$2,65,699",Y,Y,"23,956",269,"9,607","3,646","37,975","7,595",103,325,121,"3,464",Y,35,"3,165",0,"2,205",52
Rains County Public Library,"12,509",10-01-2021,09/30/2022,Emory,9034735096,"$1,03,088","$17,821","$3,250",$0,"$1,27,098",Y,Y,"22,333","1,274","35,789","7,555","69,259","14,787","9,867","17,923","4,152","27,011",Y,9,"1,891",0,"2,132",52
Ennis Public Library,"21,210",10-01-2021,09/30/2022,Ennis,9728755360,"$4,44,589","$23,301","$3,000","$5,23,417","$5,30,494",Y,Y,"24,224",973,"49,980","7,225","83,821","42,432","13,858","20,054","5,310","43,140",Y,11,"5,617","11,362","2,230",52
Euless Public Library,"60,500",10-01-2021,09/30/2022,Euless,8176851480,"$17,12,451","$1,32,912","$78,367","$20,38,477","$20,45,176",Y,Y,"71,634","2,168","8,41,641","2,04,258","11,51,840","1,49,554","23,594","89,932","60,370","2,89,143",Y,30,"15,328",0,"3,010",52
Everman Public Library,"6,067",10-01-2021,09/30/2022,Everman,8175510726,"$82,711","$1,911",$0,"$97,302","$97,302",Y,Y,"11,210",88,0,0,"11,798","3,515",297,50,0,90,Y,5,"1,083",0,"1,700",52
Fairfield Library,"9,028",01-01-2022,12/31/2022,Fairfield,9033893574,"$62,095","$5,007","$1,500","$20,000","$60,383",Y,Y,"22,521",444,"35,570","8,284","67,466","23,868","2,814","5,143","2,823","17,599",Y,25,"2,573",0,"1,624",52
Ed Rachal Memorial Library,"6,994",10-01-2021,09/30/2022,Falfurrias,3613252144,"$38,668","$3,000",$0,$0,"$69,894",Y,Y,"39,814",0,0,0,"39,814","11,688","8,508","9,744",0,"10,454",Y,13,"6,012",0,"2,080",52
Falls City Public Library,955,10-01-2021,09/30/2022,Falls City,8302543361,"$79,448","$19,014","$1,266",$0,"$1,12,626",Y,Y,"14,236",176,"32,374","5,585","54,356","5,655","1,126","3,689",401,"8,042",Y,8,682,0,"1,458",52
Farmers Branch Manske Public Library,"36,442",10-01-2021,09/30/2022,Farmers Branch,9722472511,"$7,41,229","$1,14,406","$1,00,847","$19,75,374","$19,89,053",Y,Y,"75,998","4,124","63,680","42,851","1,99,238","1,07,609","14,223","73,533","16,328","1,77,417",Y,23,"17,382","1,01,464","3,208",52
Charles J Rike Memorial Library,"4,425",10-01-2021,09/30/2022,Farmersville,9727826681,"$1,00,710","$7,090",$0,"$1,24,879","$1,48,638",Y,Y,"18,166","1,158","14,292",0,"36,630","9,704","6,093","9,680",10,"12,909",Y,8,"1,074",0,"1,880",47
Ferris Public Library,"2,857",10-01-2021,09/30/2022,Ferris,9725442110,"$1,24,207","$9,574","$1,500","$1,81,351","$1,81,351",Y,Y,"17,413",356,"35,701","7,232","62,713","7,975",690,"2,724","1,326","6,349",Y,12,"1,807",0,"1,974",47
Florence Public Library,"1,201",10-01-2021,09/30/2022,Florence,2547932672,"$14,367","$1,693",$0,"$7,500","$25,192",Y,Y,"9,375",37,"14,292",0,"23,762","5,349","1,790","1,048",29,"5,304",Y,7,427,0,"1,750",50
Wilson County Public Libraries,"51,257",10-01-2021,09/30/2022,Floresville,8303937361,"$3,96,680","$33,180","$6,815","$5,541","$5,15,211",Y,Y,"58,555","3,423","32,281","5,541","1,06,602","90,420","27,036","74,710","4,873","1,28,685",Y,38,"4,084","9,231","1,901",52
Flower Mound Public Library,"1,07,750",10-01-2021,09/30/2022,Flower Mound,9728746200,"$15,38,651","$1,16,322","$1,56,389","$20,79,638","$21,65,683",Y,Y,"81,093","2,913","1,87,664","95,110","3,74,740","2,13,170","44,965","1,34,542","87,336","5,15,011",Y,17,"6,868","1,48,282","3,215",52
Floyd County Library,"5,350",10-01-2021,09/30/2022,Floydada,8069834922,"$80,268","$10,759",$0,$0,"$1,14,997",Y,Y,"25,067",134,0,0,"25,823","18,989","3,005","7,466",0,"10,340",Y,6,296,0,"1,632",40
Forest Hill Public Library,"13,818",01-01-2022,12/31/2022,Forest Hill,8175515354,"$2,37,853","$13,000","$13,459","$4,95,274","$5,18,900",Y,Y,"19,162",946,"10,604","1,208","36,067","19,859","8,593","1,761","19,427","28,509",Y,22,"2,884","4,900","1,720",40
Jeff Davis County Library,"1,949",01-01-2022,12/31/2022,Fort Davis,4324263802,"$81,742","$9,307",$0,$0,"$1,49,656",Y,Y,"10,090","1,204","14,292",0,"30,030","15,089",996,"10,983",82,"13,665",Y,6,"1,295",0,"1,936",52
Fort Stockton Public Library,"10,699",01-01-2022,12/31/2022,Fort Stockton,4323363374,"$4,06,971","$15,680","$1,500",$0,"$4,46,607",Y,Y,"59,550","1,840","24,292",425,"89,900","40,645","10,218","17,026",469,"31,020",Y,12,"18,233","25,124","1,970",50
Fort Worth Public Library,"9,35,508",10-01-2021,09/30/2022,Fort Worth,8173927323,"$1,44,30,387","$11,54,045","$17,52,992","$2,29,00,585","$2,31,60,171",Y,Y,"6,60,337","60,876","94,672","1,43,766","11,27,923","9,80,018","4,70,457","8,88,571","10,88,061","35,56,312",Y,440,"1,22,766","13,45,541","3,028",52
Robertson County Library,"4,014",01-01-2022,12/31/2022,Franklin,9798284331,"$48,058","$7,977",$0,"$48,058","$70,529",Y,Y,"13,467",126,"27,863","8,948","50,569","9,800","2,600","4,200",689,"9,189",Y,5,"2,400",0,"2,000",50
Frankston Depot Library,"2,455",01-01-2022,12/31/2022,Frankston,9038764463,"$28,762","$24,500",$0,"$20,400","$44,852",Y,Y,"12,851",445,0,0,"15,010","3,013","2,443","1,998",0,"3,089",Y,4,692,100,"1,200",52
Pioneer Memorial Library,"26,484",10-01-2021,09/30/2022,Fredericksburg,8309976513,"$2,56,033","$15,921","$3,000",$0,"$2,93,095",Y,Y,"32,260","1,272","17,837","5,557","58,731","31,180","8,343","20,440","6,451","44,058",Y,9,"6,838",0,"2,237",50
Friendswood Public Library,"45,254",10-01-2021,09/30/2022,Friendswood,2814827135,"$11,44,622","$92,802","$48,907","$14,11,489","$14,89,829",Y,Y,"81,383","6,213","48,524","22,286","1,65,428","1,43,681","62,306","1,25,655","70,216","3,42,132",Y,12,"9,829","2,36,416","2,968",52
Friona Public Library,"4,144",10-01-2021,09/30/2022,Friona,8062503200,"$1,08,242","$23,407","$6,143","$1,79,105","$1,79,723",Y,Y,"30,395","1,515","5,982","1,941","40,824","5,930","2,782","6,426",575,"13,354",Y,19,882,"1,321","1,912",52
Frisco Public Library,"2,06,778",10-01-2021,09/30/2022,Frisco,9722925669,"$41,71,446","$4,01,415","$4,30,697","$57,61,155","$57,64,407",Y,Y,"1,66,259",701,"45,504","12,961","2,47,292","5,75,418","1,11,585","4,52,265","2,96,179","23,16,975",Y,78,"31,227","9,87,316","3,624",52
Cooke County Library,"39,143",10-01-2021,09/30/2022,Gainesville,9406685530,"$3,71,718","$38,000","$16,033",$0,"$7,03,031",Y,Y,"47,171","2,867","41,119","7,709","1,02,870","63,835","4,500","36,451","9,871","76,422",Y,24,"5,944","28,864","2,403",49
Rosenberg Library,"60,648",10-01-2021,09/30/2022,Galveston,4097638854,"$27,78,166","$1,37,247","$1,86,717","$36,09,500","$47,57,988",Y,Y,"97,597","3,717","67,253","18,808","1,99,618","2,02,307","32,803","49,628","65,350","1,72,749",Y,37,"28,391","4,62,493","2,934",52
City of Garden Ridge Library,"4,335",10-01-2021,09/30/2022,Garden Ridge,2106516570,"$85,256","$2,150","$2,911","$94,927","$1,11,528",Y,Y,"14,371",732,"46,202","7,917","70,807","11,985","2,223","4,293","3,717","18,108",Y,5,63,0,"1,976",52
Nicholson Memorial Library System,"2,42,035",10-01-2021,09/30/2022,Garland,9722052548,"$42,99,568","$5,05,484","$6,42,346","$59,29,752","$59,45,913",Y,Y,"2,15,817","5,978","69,508","31,361","3,59,504","2,75,560","1,46,067","2,50,701","2,71,638","7,88,623",Y,103,"48,596","86,844","3,185",51
Garwood Memorial Library,"6,394",01-01-2022,12/31/2022,Garwood,9797583242,"$3,343","$1,000",$910,$0,"$7,600",N,N,"9,535",51,0,0,"9,586",0,842,866,0,"1,220",Y,2,150,0,"2,656",52
Gatesville Public Library,"8,523",10-01-2021,09/30/2022,Gatesville,2548655367,"$1,69,527","$12,436","$7,248","$2,47,209","$2,55,446",Y,Y,"42,044","3,905","43,459","9,621","1,01,379","42,500","8,880","17,562","7,864","36,231",Y,17,"5,356","10,856","2,912",52
Georgetown Public Library,"75,420",10-01-2021,09/30/2022,Georgetown,5129303551,"$18,36,953","$1,95,978","$99,542","$33,28,407","$35,76,771",Y,Y,"92,328","7,456","43,722","10,276","1,63,102","2,78,021","41,652","2,69,256","98,842","6,04,928",Y,62,"16,780",0,"3,186",52
Live Oak County Library,"10,131",01-01-2022,12/31/2022,George West,3614491124,"$88,689","$11,083",$0,$0,"$1,51,970",Y,Y,"34,902","1,073","22,647","4,814","66,429","12,892","6,273","3,189",594,"6,247",Y,11,"1,940",0,"1,645",50
Giddings Public Library,"5,067",10-01-2021,09/30/2022,Giddings,9795422716,"$2,37,850","$10,670","$1,500","$3,26,227","$3,38,501",Y,Y,"27,033",796,"19,965","6,172","54,794","18,817","6,052","14,688","1,876","28,622",Y,21,"1,715","19,659","2,099",52
Upshur County Library,"41,774",10-01-2021,09/30/2022,Gilmer,9038435001,"$1,82,525","$35,729","$8,971",$0,"$3,30,664",Y,Y,"62,064","1,378","16,151","2,567","85,474","44,955","5,702","19,550","4,317","44,069",Y,19,852,"35,500","1,961",52
Lee - Bardwell Public Library,"9,429",10-01-2021,09/30/2022,Gladewater,9038452640,"$11,042",$31,$0,"$19,900","$25,900",Y,Y,"25,332",494,0,0,"27,017",400,"6,009",0,0,0,Y,4,0,0,0,0
Jennie Trent Dew Library,"4,480",10-01-2021,09/30/2022,Goldthwaite,3256482447,"$48,930","$4,314","$3,237","$31,416","$99,409",Y,Y,"11,778",65,"41,310","8,433","63,229","8,799","3,148","9,762","2,464","18,271",Y,17,"1,974",0,"1,482",52
Goliad County Library,"7,169",10-01-2021,09/30/2022,Goliad,3616452291,"$1,14,262","$11,509","$1,000",$0,"$2,20,655",Y,Y,"21,109",123,"24,138","8,444","55,240","11,769","6,419","7,500","1,912","12,415",Y,4,499,0,"1,976",40
Gonzales Public Library,"7,098",01-01-2022,12/31/2022,Gonzales,8306726315,"$2,46,909","$28,782","$1,500","$3,81,317","$4,08,554",Y,Y,"31,861","1,237","14,871",649,"54,665","43,434","16,272","14,278","3,463","29,212",Y,17,"3,500",0,"2,107",52
Library of Graham,"8,765",10-01-2021,09/30/2022,Graham,9405490600,"$1,60,947","$30,000","$4,000","$3,05,368","$3,40,930",Y,Y,"43,626","1,913","17,303","8,916","74,491","30,774","6,286","20,303","6,393","60,682",Y,17,"4,560",0,"1,992",52
Hood County Public Library,"64,222",10-01-2021,09/30/2022,Granbury,8175733569,"$4,77,037","$52,719","$45,196",$0,"$8,18,970",Y,Y,"45,066","1,534","4,947","5,913","65,295","52,315","22,817","1,72,236","20,693","3,39,610",Y,21,"5,261",0,"2,462",49
Grand Prairie Public Library System,"1,97,347",10-01-2021,09/30/2022,Grand Prairie,9722375700,"$22,29,324","$1,64,766","$2,28,998","$29,97,698","$30,04,652",Y,Y,"1,27,196","4,053","24,683","26,403","1,97,691","2,39,847","78,393","72,060","85,766","3,27,213",Y,52,"36,585","6,40,930","2,681",52
Grand Saline Public Library,"3,165",10-01-2021,09/30/2022,Grand Saline,9039625516,"$46,347","$10,340","$1,500","$59,287","$76,020",Y,Y,"10,779",291,"46,058","7,867","65,974","7,018",748,"4,448","1,736","9,014",Y,5,541,0,"1,568",52
Grapeland Public Library,"1,493",01-01-2022,12/31/2022,Grapeland,9366873425,"$18,925","$10,503",$0,"$1,000","$37,953",Y,Y,"7,348",33,0,0,"8,427","2,787","1,543","2,248",0,"4,037",Y,9,"1,658",0,960,48
Grapevine Public Library,"50,872",10-01-2021,09/30/2022,Grapevine,8174103400,"$14,87,194","$1,17,115","$1,00,495","$18,94,937","$19,42,125",Y,Y,"1,49,931","14,850","1,04,271","8,833","3,43,194","99,803","18,922","2,39,803","55,757","3,77,057",Y,30,"7,433",0,"3,205",51
W Walworth Harrison Public Library,"29,578",10-01-2021,09/30/2022,Greenville,9034572992,"$4,58,554","$47,759","$4,230","$6,16,640","$6,43,582",Y,Y,"65,614","1,935","51,016","5,467","1,26,478","60,738","26,903","36,694","11,259","1,06,005",Y,22,"11,647","31,988","2,148",43
Groesbeck Public Library,"7,660",10-01-2021,09/30/2022,Groesbeck,2547293667,"$91,523","$7,043","$1,500","$1,24,151","$1,34,892",Y,Y,"24,670",343,"29,233","9,637","65,619","6,735","1,025","4,520","1,467","11,895",Y,16,742,"3,286","1,484",52
