Library Name,Legal Service Area (Population Assignment),Start of Local Fiscal Year (LFY),End of Local Fiscal Year (LFY),Mail City,Library Phone,Total Staff Expenditures,Print Material Expenditures,Electronic Material Expenditures,City/Library District Capital Revenue,Total Capital Revenue,Electronically Searchable  Catalog,1% of Collection Published in Last Five Years?,Books in Print,Physical Audio Items,E-books,E-Audio,Total Collection Items,Annual Library Visits,Registered Library Users,Annual Circulation: All Other Ages Physical Items,Annual Circulation: All Other Ages Digital Items,Total Annual Circulation,Public Internet Computers Available,Number of Public Internet Computers,Annual Number of Computer Uses,Annual Website Visits,Annual Number of Public Service Hours,Annual Number Public Service Weeks
Clyde Public Library,"8,490",10-01-2018,9/30/2019,Clyde,3258935315,"$73,154","$8,569","$1,099","$11,355","$11,355",Yes,Yes,"18,467",483,"7,379","1,941","30,858","9,472","5,100","10,615","2,077","16,674",Yes,10,"1,710",0,"1,664",52
Coleman Public Library,"8,397",10-01-2018,9/30/2019,Coleman,3256253043,"$90,293","$10,739","$1,978","$15,000","$15,000",Yes,Yes,"28,326","1,034","7,592","1,970","40,973","30,173","10,205","28,354","37,400","72,064",Yes,35,"12,994",0,"1,664",52
Mitchell County Public Library,"8,145",01-01-2019,12/31/2019,Colorado City,3257283968,"$1,48,152","$8,677","$1,500",$0,$0,Yes,Yes,"33,884",561,"7,050","1,905","45,322","15,629","6,540","15,055","1,194","20,571",Yes,12,"2,175","5,225","2,083",50
Nesbitt Memorial Library,"6,019",10-01-2018,9/30/2019,Columbus,9797323392,"$1,74,398","$14,959","$2,706",$0,"$31,621",Yes,Yes,"31,904",796,"17,642","4,242","56,038","50,637","2,888","14,434","3,429","29,527",Yes,16,"8,634","11,710","2,377",52
Comanche Public Library,"8,900",10-01-2018,9/30/2019,Comanche,3253562122,"$1,29,007","$9,333","$2,053",$0,$0,Yes,Yes,"20,602",131,"6,372","1,620","28,725","13,420","3,672","6,278","3,040","12,104",Yes,10,"4,391",0,"1,630",46
Comfort Public Library,"14,954",01-01-2019,12/31/2019,Comfort,8309952398,"$98,035","$20,187","$4,079",$0,"$10,279",Yes,Yes,"23,329",495,"9,997","3,102","38,220","17,129","2,183","8,469","1,991","17,397",Yes,19,"2,219",0,"1,575",51
Commerce Public Library,"21,409",10-01-2018,9/30/2019,Commerce,9038866858,"$82,640","$8,639","$3,842",$0,$0,Yes,Yes,"19,052",816,"22,879","3,850","47,387","14,871","10,537","3,421","1,833","15,155",Yes,9,"2,614",0,"2,093",52
Montgomery County Memorial Library System,"5,85,261",10-01-2018,9/30/2019,Conroe,9367888377,"$77,39,660","$5,70,902","$2,82,869",$0,"$13,545",Yes,Yes,"6,14,270","42,956","3,99,967","4,06,315","15,24,882","9,01,935","3,08,632","12,31,894","3,53,388","28,20,839",Yes,231,"1,29,105","8,82,447","3,160",52
George & Cynthia Woods Mitchell Library,,,,The Woodlands,9364427728,,,,,,,,,,,,,,,,,,,,,,"3,158",52
Malcolm Purvis Library-Magnolia,,,,Magnolia,9364427704,,,,,,,,,,,,,,,,,,,,,,"2,420",52
Charles B Stewart-West Branch Library,,,,Montgomery,9364427718,,,,,,,,,,,,,,,,,,,,,,"2,861",52
RB Tullis Library,,,,New Caney,9364427705,,,,,,,,,,,,,,,,,,,,,,"2,990",52
South Regional Library,,,,The Woodlands,9364427727,,,,,,,,,,,,,,,,,,,,,,"3,136",52
RF Meador Branch Library,,,,Willis,9364427740,,,,,,,,,,,,,,,,,,,,,,"2,672",52
Copperas Cove Public Library,"32,658",10-01-2018,9/30/2019,Copperas Cove,2545473826,"$2,91,320","$20,974","$7,445","$1,23,075","$1,32,308",Yes,Yes,"43,863","1,882","15,863","4,334","69,013","72,814","14,337","53,086","7,056","1,06,501",Yes,23,"20,381","31,462","2,496",52
Corpus Christi Public Libraries,"3,26,554",10-01-2018,9/30/2019,Corpus Christi,3618267070,"$22,40,622","$1,85,573","$1,21,503",$0,$0,Yes,Yes,"3,15,655","14,404","14,013","13,248","3,80,889","6,48,142","95,330","3,34,841","15,808","6,96,834",Yes,131,"1,97,697","46,67,056","2,236",52
Dr Clotilde P Garcia Public Library,,,,Corpus Christi,3618262360,,,,,,,,,,,,,,,,,,,,,,"2,860",52
Anita & WT Neyland Public Library,,,,Corpus Christi,3618262370,,,,,,,,,,,,,,,,,,,,,,"2,924",52
Ben F McDonald Public Library,,,,Corpus Christi,3618262356,,,,,,,,,,,,,,,,,,,,,,"2,860",52
Owen R Hopkins Public Library,,,,Corpus Christi,3618262350,,,,,,,,,,,,,,,,,,,,,,"2,860",52
Janet F Harte Public Library,,,,Corpus Christi,3618262310,,,,,,,,,,,,,,,,,,,,,,"2,236",52
Mickey Reily Public Library,"1,604",10-01-2018,9/30/2019,Corrigan,9363984156,"$95,434","$10,219",$0,$0,$0,Yes,Yes,"22,783",740,0,0,"24,459","7,613","4,951","3,787",0,"4,347",Yes,10,"3,320",0,"1,822",49
Corsicana Public Library,"49,565",10-01-2018,9/30/2019,Corsicana,9036544810,"$3,24,816","$36,481","$6,000",$0,$0,Yes,Yes,"85,643","2,291","27,290","5,420","1,24,587","64,295","24,449","49,674","6,617","80,164",Yes,9,"8,233",0,"2,484",52
Alexander Memorial Library,"7,531",01-01-2019,12/31/2019,Cotulla,8308792601,"$75,072","$3,560","$2,517",$0,$0,Yes,Yes,"15,414",152,"15,537","2,518","34,805","3,607","3,780","12,534","2,977","17,463",Yes,6,"2,109",0,"1,747",52
Encinal Library,,,,Cotulla,9569487228,,,,,,,,,,,,,,,,,,,,,,"1,757",52
Crane County Library,"4,794",10-01-2018,9/30/2019,Crane,4325581142,"$1,51,538","$16,170","$2,307",$0,"$17,500",Yes,Yes,"20,569",421,"15,714","1,661","40,309","28,300","1,011","8,071",359,"18,201",Yes,11,"9,600",0,"1,824",52
JH Wootters Crockett Public Library,"6,532",10-01-2018,9/30/2019,Crockett,9365443089,"$1,10,505","$34,449","$5,196",$0,$0,Yes,Yes,"44,883",804,"11,717",653,"60,391","38,532","7,393","32,378","3,565","47,479",Yes,22,"12,583","69,521","2,029",52
Crosby County Library,"5,779",10-01-2018,9/30/2019,Crosbyton,8066752673,"$72,848","$3,846","$1,500",$0,$0,Yes,Yes,"24,975",433,"15,279","1,543","42,330","7,657","1,670","5,892",915,"8,619",Yes,14,"1,327",0,"1,351",51
Lorenzo Library,,,,Lorenzo,8066345639,,,,,,,,,,,,,,,,,,,,,,820,51
Ralls Library,,,,Ralls,8062532755,,,,,,,,,,,,,,,,,,,,,,"1,554",51
Cross Plains Public Library,"2,182",01-01-2019,12/31/2019,Cross Plains,2547257722,"$14,017","$3,269",$0,$0,"$10,000",Yes,Yes,"19,126",782,0,0,"20,246","3,779","3,053","4,124",0,"5,785",Yes,9,391,0,986,52
Cuero Public Library,"8,256",10-01-2018,9/30/2019,Cuero,3612752864,"$1,61,540","$13,630","$1,500",$0,"$5,000",Yes,Yes,"13,249",780,32,0,"15,087","21,670","11,942","10,543","3,239","22,720",Yes,16,"5,243",0,"2,391",52
Daingerfield Public Library,"2,380",10-01-2018,9/30/2019,Daingerfield,9036452823,"$51,732","$6,526",$0,$0,$0,Yes,Yes,"13,700",526,0,0,"14,881","9,840","4,214","9,569",0,"10,947",Yes,5,"3,128",0,"1,984",50
Dallam-Hartley County Library,"12,782",10-01-2018,9/30/2019,Dalhart,8062442761,"$1,20,063","$7,970","$2,969",$0,$0,Yes,Yes,"22,663","2,868","5,544","1,389","33,777","11,499","1,985","9,300","36,691","53,120",Yes,12,"2,494",0,"2,120",52
Dallas Public Library,"13,45,047",10-01-2018,9/30/2019,Dallas,2146701400,"$2,09,11,032","$24,92,713","$8,08,687",$0,$0,Yes,Yes,"19,80,283","1,27,486","1,73,915","2,82,943","28,81,179","31,44,957","6,86,895","43,76,015","4,85,615","75,78,512",Yes,611,"4,67,679",0,"2,928",52
Arcadia Park Branch Library,,,,Dallas,2146706446,,,,,,,,,,,,,,,,,,,,,,"2,993",52
Grauwyler Park Branch Library,,,,Dallas,2146716421,,,,,,,,,,,,,,,,,,,,,,"2,644",52
Timberglen Branch Library,,,,Dallas,2146711365,,,,,,,,,,,,,,,,,,,,,,"2,644",52
Bookmarks @ NorthPark Center,,,,Dallas,2146711381,,,,,,,,,,,,,,,,,,,,,,"2,252",52
Prairie Creek Branch Library,,,,Dallas,2146710410,,,,,,,,,,,,,,,,,,,,,,"2,644",52
White Rock Hills Branch Library,,,,Dallas,2146708443,,,,,,,,,,,,,,,,,,,,,,"2,928",52
Audelia Road Branch Library,,,,Dallas,2146701350,,,,,,,,,,,,,,,,,,,,,,"2,928",52
Lochwood Branch Library,,,,Dallas,2146708403,,,,,,,,,,,,,,,,,,,,,,"2,644",52
Forest Green Branch Library,,,,Dallas,2146701335,,,,,,,,,,,,,,,,,,,,,,"2,644",52
Fretz Park Branch Library,,,,Dallas,2146706421,,,,,,,,,,,,,,,,,,,,,,"2,644",46
Hampton-Illinois Branch Library,,,,Dallas,2146707646,,,,,,,,,,,,,,,,,,,,,,"3,357",52
Highland Hills Branch Library,,,,Dallas,2146700987,,,,,,,,,,,,,,,,,,,,,,"2,644",52
Lakewood Branch Library,,,,Dallas,2146701376,,,,,,,,,,,,,,,,,,,,,,"2,644",52
Paul Laurence Dunbar Lancaster-Kiest Branch Library,,,,Dallas,2146701952,,,,,,,,,,,,,,,,,,,,,,"2,928",52
Martin Luther King Jr Library/Learning Center,,,,Dallas,2146700344,,,,,,,,,,,,,,,,,,,,,,"2,644",52
North Oak Cliff Branch Library,,,,Dallas,2146707555,,,,,,,,,,,,,,,,,,,,,,"2,928",52
Oak Lawn Branch Library,,,,Dallas,2146701359,,,,,,,,,,,,,,,,,,,,,,"2,928",52
Park Forest Branch Library,,,,Dallas,2146706333,,,,,,,,,,,,,,,,,,,,,,"2,644",52
Pleasant Grove Branch Library,,,,Dallas,2146700965,,,,,,,,,,,,,,,,,,,,,,"2,928",52
Polk-Wisdom Branch Library,,,,Dallas,2146701947,,,,,,,,,,,,,,,,,,,,,,"2,928",52
Preston Royal Branch Library,,,,Dallas,2146707128,,,,,,,,,,,,,,,,,,,,,,"2,928",52
Renner Frankford Branch Library,,,,Dallas,2146706100,,,,,,,,,,,,,,,,,,,,,,"2,928",52
Skyline Branch Library,,,,Dallas,2146700938,,,,,,,,,,,,,,,,,,,,,,"2,644",52
Bachman Lake Branch Library,,,,Dallas,2146706376,,,,,,,,,,,,,,,,,,,,,,"2,928",52
Dallas West Branch Library,,,,Dallas,2146706445,,,,,,,,,,,,,,,,,,,,,,"2,928",52
Mountain Creek Branch Library,,,,Dallas,2146706704,,,,,,,,,,,,,,,,,,,,,,"2,644",52
Kleberg-Rylie Branch Library,,,,Dallas,2146708471,,,,,,,,,,,,,,,,,,,,,,"2,644",52
Skillman Southwestern Branch Library,,,,Dallas,2146706078,,,,,,,,,,,,,,,,,,,,,,"2,644",52
Jones Public Library,"8,336",10-01-2018,9/30/2019,Dayton,9362587060,"$2,11,594","$14,612","$1,500",$0,$0,Yes,Yes,"19,064","1,045",976,189,"22,314","39,444","10,878","12,397","2,551","26,600",Yes,29,"6,136","3,845","2,253",50
DeLeon City County Library,"4,634",01-01-2019,12/31/2019,De Leon,2548932417,"$32,322","$4,975","$1,500",$0,$0,Yes,Yes,"8,981",322,"11,507","2,336","24,259","13,675","2,158","9,275","1,181","11,896",Yes,9,"4,157",0,"1,982",52
Decatur Public Library,"24,770",10-01-2018,9/30/2019,Decatur,9403930290,"$4,44,100","$30,643","$5,250",$0,$0,Yes,Yes,"47,187","2,034","15,855","6,815","74,835","93,615","16,264","41,660","10,110","92,121",Yes,10,"8,949","32,517","2,510",52
Deer Park Public Library,"33,931",10-01-2018,9/30/2019,Deer Park,2814787208,"$7,88,191","$59,855","$54,132",$0,$0,Yes,Yes,"72,704","2,042","42,858","15,182","1,38,977","65,428","41,367","50,795","23,017","1,29,887",Yes,34,"16,416","21,200","2,587",52
Val Verde County Library,"49,208",10-01-2018,9/30/2019,Del Rio,8307747595,"$5,07,481","$85,833","$13,808",$0,"$1,187",Yes,Yes,"50,200","1,539","1,047","1,468","56,821","97,452","24,050","30,193","2,532","73,379",Yes,25,"24,324",0,"2,542",52
Denison Public Library,"25,118",10-01-2018,9/30/2019,Denison,9034651797,"$5,62,197","$38,654","$5,823",$0,$0,Yes,Yes,"55,757","1,255","27,140","5,410","92,701","1,21,982","5,143","61,726","9,224","1,14,611",Yes,24,"18,536","47,877","2,743",52
Denton Public Library,"1,38,541",10-01-2018,9/30/2019,Denton,9403498750,"$36,89,097","$3,02,492","$2,58,909",$0,$0,Yes,Yes,"1,75,615","21,149","10,861","5,315","2,49,405","4,99,822","1,04,597","4,82,396","1,34,090","11,93,799",Yes,127,"78,136",0,"3,196",52
Denton Public Library South Branch,,,,Denton,9403498752,,,,,,,,,,,,,,,,,,,,,,"3,074",52
Denton Public Library North Branch,,,,Denton,9403498752,,,,,,,,,,,,,,,,,,,,,,"3,368",52
Yoakum County/Cecil Bickley Library,"5,068",01-01-2019,12/31/2019,Denver City,8065922754,"$2,27,688","$18,761","$1,457",$0,$0,Yes,Yes,"46,128","1,816","35,933","3,476","91,299","33,242","5,631","6,964","2,448","19,125",Yes,10,"21,923","8,354","2,125",50
Driscoll Public Library,"4,865",10-01-2018,9/30/2019,Devine,8306632993,"$89,737","$7,080","$1,000",$0,$0,Yes,Yes,"15,051",636,"12,779","2,383","33,071","22,061","1,885","9,046","1,296","19,949",Yes,11,"5,454",0,"1,968",52
TLL Temple Memorial Library & Archives,"5,247",01-01-2019,12/31/2019,Diboll,9368295497,"$2,65,968","$14,282","$2,660",$0,$0,Yes,Yes,"41,940",924,"15,185","1,180","61,076","12,108","7,218","9,046","3,633","19,737",Yes,14,"2,900",0,"2,299",52
Dickinson Public Library,"24,200",10-01-2018,9/30/2019,Dickinson,2815343812,"$2,62,489","$26,739","$6,962",$0,$0,Yes,Yes,"34,895","1,528","16,674","1,233","57,165","43,307","17,488","19,366","2,518","36,474",Yes,16,"9,186","27,039","2,041",52
Rhoads Memorial Library,"7,665",10-01-2018,9/30/2019,Dimmitt,8066473532,"$81,237","$8,485","$4,017",$0,$0,Yes,Yes,"21,145","3,826","5,544","1,389","32,926","13,565","1,724","7,094",264,"11,322",Yes,7,"4,201","2,759","1,936",52
Donna Public Library,"25,303",10-01-2018,9/30/2019,Donna,9564642221,"$3,04,351","$14,874","$4,210",$0,$0,Yes,Yes,"48,544",67,"65,000","14,000","1,28,981","63,004","2,193","4,612",820,"11,060",Yes,26,"15,596",0,"3,780",52
Dublin Public Library,"3,604",10-01-2018,9/30/2019,Dublin,2544454141,"$90,032","$1,652","$3,295",$0,$0,Yes,Yes,"17,344",889,"20,906","7,319","48,481","14,298","5,876","19,575","6,569","33,933",Yes,41,"3,526","8,915","2,015",52
Killgore Memorial Library,"21,485",10-01-2018,9/30/2019,Dumas,8069354941,"$4,52,540","$30,558","$2,928",$0,$0,Yes,Yes,"42,132","2,015","5,544","1,389","62,162","56,969","2,369","19,507","1,284","47,784",Yes,22,"3,684","10,837","2,203",52
Cactus Branch Library,,,,Cactus,8069663706,,,,,,,,,,,,,,,,,,,,,,"1,642",52
Britain Memorial Library,,,,Sunray,8069485501,,,,,,,,,,,,,,,,,,,,,,"1,673",52
Duncanville Public Library,"39,364",10-01-2018,9/30/2019,Duncanville,9727805050,"$6,75,777","$63,098","$7,715",$0,$0,Yes,Yes,"91,814","4,683","21,471","3,454","1,28,524","1,65,578","34,778","49,522","3,605","1,13,688",Yes,22,"58,012","72,947","2,782",52
Eula & David Wintermann Library,"6,135",07-01-2018,6/30/2019,Eagle Lake,9792345411,"$79,652","$8,134","$2,008",$0,$0,Yes,Yes,"27,424","1,730","13,136","1,150","44,076","16,952","4,594","7,796",92,"11,567",Yes,11,"2,034","3,083","2,184",52
Eagle Pass Public Library,"44,107",10-01-2018,9/30/2019,Eagle Pass,8307737323,"$6,85,576","$36,767","$17,124",$0,$0,Yes,Yes,"33,150","1,017","13,900","2,788","52,080","30,465","6,225","11,598","1,337","25,173",Yes,62,"12,589",0,"2,470",52
Eagle Pass Public Children`s Library,,,,Eagle Pass,8302138453,,,,,,,,,,,,,,,,,,,,,,"1,900",52
Centennial Memorial Library,"3,919",01-01-2019,12/31/2019,Eastland,2546292281,"$21,167","$3,580",$0,$0,$0,Yes,Yes,"14,210",473,0,0,"15,092","5,040","2,692","6,262",0,"7,659",Yes,8,877,397,"1,083",51
Dustin Michael Sekula Memorial Library,"1,50,295",10-01-2018,9/30/2019,Edinburg,9563836246,"$15,11,038","$85,438","$11,830",$0,$0,Yes,Yes,"1,07,250","1,833","9,528","11,418","1,38,689","2,50,977","1,47,831","84,299","3,230","1,57,925",Yes,90,"1,51,191","1,65,372","3,476",52
Jackson County Memorial Library,"14,874",10-01-2018,9/30/2019,Edna,3617822162,"$1,26,193","$32,590","$2,101",$0,"$3,686",Yes,Yes,"23,563","2,024","19,262","2,614","48,622","22,334","3,545","12,617","2,706","30,069",Yes,11,"4,282","20,655","2,100",50
El Paso Public Library,"6,82,669",09-01-2018,8/31/2019,El Paso,9152127323,"$68,93,788","$9,45,341","$3,51,162","$2,23,049","$2,23,049",Yes,Yes,"6,48,706","29,791","45,967","7,211","8,03,647","14,53,681","1,71,503","9,63,723","1,46,753","19,22,605",Yes,683,"4,96,968","6,52,798","2,856",52
Clardy Fox Branch Library,,,,El Paso,9152120456,,,,,,,,,,,,,,,,,,,,,,"2,496",52
Judge Edward S Marquez Mission Valley Branch,,,,El Paso,9152120600,,,,,,,,,,,,,,,,,,,,,,"2,496",52
Memorial Park Branch Library,,,,El Paso,9155661034,,,,,,,,,,,,,,,,,,,,,,"2,496",52
Westside Branch Library,,,,El Paso,9152120445,,,,,,,,,,,,,,,,,,,,,,"2,496",52
Sergio Troncoso Branch Library,,,,El Paso,9152120453,,,,,,,,,,,,,,,,,,,,,,"2,496",52
Bookmobile - El Paso Public Library,,,,El Paso,9155435412,,,,,,,,,,,,,,,,,,,,,,891,52
Irving Schwartz Branch Library,,,,El Paso,9152120315,,,,,,,,,,,,,,,,,,,,,,"2,496",52
Jenna Welch & Laura Bush Community Library,,,,El Paso,9158318840,,,,,,,,,,,,,,,,,,,,,,"3,402",49
Dorris Van Doren Regional Branch Library,,,,El Paso,9152123560,,,,,,,,,,,,,,,,,,,,,,"2,496",52
Esperanza Acosta Moreno Regional Branch Library,,,,El Paso,9152120442,,,,,,,,,,,,,,,,,,,,,,"2,496",52
Jose Cisneros Cielo Vista Branch Library,,,,El Paso,9152122203,,,,,,,,,,,,,,,,,,,,,,"2,496",52
Kidsmobile,,,,El Paso,9152123203,,,,,,,,,,,,,,,,,,,,,,0,52
Armijo Branch Library,,,,El Paso,9152120369,,,,,,,,,,,,,,,,,,,,,,"2,496",52
Richard Burges Regional Branch Library,,,,El Paso,9152120317,,,,,,,,,,,,,,,,,,,,,,"2,496",52
Schleicher County Public Library,"2,895",01-01-2019,12/31/2019,Eldorado,3258533767,"$30,575","$9,756","$1,500",$0,$0,Yes,Yes,"14,804",400,"5,571","1,904","24,604","7,572","1,139","4,066",91,"6,414",Yes,6,"1,013","2,340","1,240",52
Electra Public Library,"2,706",10-01-2018,9/30/2019,Electra,9404952208,"$81,866","$2,427","$1,000",$0,$0,Yes,Yes,"20,669","1,091","9,010",464,"36,639","33,212","1,035","30,188","17,828","52,419",Yes,16,"3,977",0,"1,920",52
Elsa Public Library,"10,826",10-01-2018,9/30/2019,Elsa,9562623061,"$1,51,298","$10,442",$795,$0,$0,Yes,Yes,"24,666",411,"9,580","11,314","46,458","22,245","11,520","2,695",125,"9,898",Yes,35,"10,288","4,666","2,340",52
Rains County Public Library,"12,159",10-01-2018,9/30/2019,Emory,9034735096,"$1,05,866","$15,917","$3,350",$0,$0,Yes,Yes,"22,517","1,423","22,747","3,968","53,093","22,544","9,141","29,531","4,530","45,113",Yes,9,"3,016",0,"2,036",52
Ennis Public Library,"19,923",10-01-2018,9/30/2019,Ennis,9728755360,"$3,65,263","$28,747","$3,000",$0,$0,Yes,Yes,"27,898","1,167","26,206","5,042","61,977","60,546","14,237","31,284","5,214","65,618",Yes,15,"9,736","19,765","2,266",52
Euless Public Library,"57,346",10-01-2018,9/30/2019,Euless,8176851480,"$13,25,633","$1,60,190","$43,591",$0,$0,Yes,Yes,"69,885","4,055","1,08,538","27,756","2,17,652","85,007","34,493","1,03,701","26,722","2,17,049",Yes,12,"16,649","58,134","3,231",52
Fairfield Library,"9,000",01-01-2019,12/31/2019,Fairfield,9033893574,"$53,299","$5,001","$1,500",$0,$0,Yes,Yes,"21,679",280,"15,121","4,193","41,984","26,919","2,756","6,737","3,140","17,857",Yes,25,"4,213",0,"1,616",52
Ed Rachal Memorial Library,"7,114",10-01-2018,9/30/2019,Falfurrias,3613252144,"$36,249","$2,714",$0,$0,$0,Yes,Yes,"39,437",0,0,0,"39,437","14,987","8,296","9,566",0,"10,118",Yes,15,"10,311",0,"2,000",52
Farmers Branch Manske Public Library,"40,209",10-01-2018,9/30/2019,Farmers Branch,9722472511,"$6,79,084","$97,519","$87,821",$0,$0,Yes,Yes,"1,18,771","5,744","3,76,573","95,133","6,23,367","1,44,534","17,583","92,662","19,269","1,99,471",Yes,39,"26,467","1,06,393","3,190",52
Charles J Rike Memorial Library,"3,930",10-01-2018,9/30/2019,Farmersville,9727826681,"$90,152","$5,036",$0,$0,$0,Yes,Yes,"20,620","1,563",0,0,"25,007","13,517","5,693","15,234",0,"18,174",Yes,8,"2,283",0,"1,997",50
Ferris Public Library,"2,822",10-01-2018,9/30/2019,Ferris,9725443696,"$1,22,937","$13,210","$1,500",$0,$0,Yes,Yes,"19,357",377,"25,846","3,985","51,922","16,013","1,995","8,840","1,732","20,662",Yes,23,"7,647",0,"1,880",47
Florence Public Library,"1,271",10-01-2018,9/30/2019,Florence,2547932672,"$13,478","$2,355",$0,$0,$0,Yes,Yes,"10,734",0,0,0,"10,790","5,803","2,632","1,581",0,"2,183",Yes,6,"1,184",0,"1,550",50
Wilson County Public Libraries,"50,224",10-01-2018,9/30/2019,Floresville,8303937361,"$3,11,694","$42,984","$17,760",$0,$0,Yes,Yes,"56,104","3,495","14,468","3,133","83,193","1,51,657","25,214","94,978","1,48,656","3,13,566",Yes,58,"12,396","75,855","2,473",52
Sarah Bain Chandler Library,,,,Stockdale,8309963114,,,,,,,,,,,,,,,,,,,,,,"2,080",52
McCallum LaVernia Library,,,,La Vernia,8302531429,,,,,,,,,,,,,,,,,,,,,,"1,612",52
Wilson County Historical Commission Archive,,,,Floresville,8303937354,,,,,,,,,,,,,,,,,,,,,,"1,040",52
Floyd County Library,"5,837",10-01-2018,9/30/2019,Floydada,8069834922,"$64,905","$10,022",$0,$0,$0,Yes,Yes,"24,115",112,0,0,"24,813","8,606","2,303","8,356",0,"10,841",Yes,6,"3,296",0,"1,920",52
Floyd County Branch Library,,,,Lockney,8066523561,,,,,,,,,,,,,,,,,,,,,,988,52
Jeff Davis County Library,"2,252",01-01-2019,12/31/2019,Fort Davis,4324263802,"$68,076","$13,038",$0,$0,$0,Yes,Yes,"12,644",911,"1,504",0,"18,057","11,902",744,"28,173",0,"32,879",Yes,11,"2,910","1,597","2,132",52
Fort Stockton Public Library,"12,289",01-01-2019,12/31/2019,Fort Stockton,4323363374,"$3,36,552","$19,927","$1,000",$0,$0,Yes,Yes,"58,503","1,918",40,146,"63,866","57,989","9,850","25,402",191,"46,241",Yes,12,"26,685","26,925","2,646",52
Fort Worth Public Library,"8,95,008",10-01-2018,9/30/2019,Fort Worth,8173927323,"$1,37,94,628","$9,55,599","$10,72,217",$0,$0,Yes,Yes,"7,81,554","83,797","56,511","29,250","11,11,976","13,18,670","5,75,465","17,95,852","5,76,076","40,42,773",Yes,445,"2,05,242","6,88,204","2,830",52
East Berry Branch Library,,,,Fort Worth,8173925470,,,,,,,,,,,,,,,,,,,,,,"2,366",52
eSkills Library,,,,Fort Worth,8173926621,,,,,,,,,,,,,,,,,,,,,,"2,374",52
Northside Branch Library,,,,Fort Worth,8173926641,,,,,,,,,,,,,,,,,,,,,,"2,374",52
Ridglea Branch Library,,,,Fort Worth,8173926631,,,,,,,,,,,,,,,,,,,,,,"2,374",52
Riverside Branch Library,,,,Fort Worth,8173925560,,,,,,,,,,,,,,,,,,,,,,"2,374",52
Seminary South Branch Library,,,,Fort Worth,8173925490,,,,,,,,,,,,,,,,,,,,,,"2,366",52
Shamblee Branch Library,,,,Fort Worth,8173925580,,,,,,,,,,,,,,,,,,,,,,"2,374",52
Southwest Regional Branch Library,,,,Fort Worth,8173925860,,,,,,,,,,,,,,,,,,,,,,"2,522",52
Wedgwood Branch Library,,,,Fort Worth,8173925480,,,,,,,,,,,,,,,,,,,,,,"2,374",52
Diamond Hill/Jarvis Branch Library,,,,Fort Worth,8173926010,,,,,,,,,,,,,,,,,,,,,,"2,366",52
East Regional Branch Library,,,,Fort Worth,8173925550,,,,,,,,,,,,,,,,,,,,,,"2,522",52
Summerglen Branch Library,,,,Fort Worth,8173925970,,,,,,,,,,,,,,,,,,,,,,"2,366",52
Northwest Branch Library,,,,Cypress,8329275461,,,,,,,,,,,,,,,,,,,,,,"3,226",52
Cambridge Court Branch Library,,,,Fort Worth,8173922369,,,,,,,,,,,,,,,,,,,,,,954,29
Robertson County Library,"3,960",01-01-2019,12/31/2019,Franklin,9798284331,"$45,108","$7,503","$1,500",$0,$0,Yes,Yes,"13,257",144,"19,268","4,632","37,576","10,000","2,200","4,400",372,"9,272",Yes,6,"2,600",0,"2,040",52
Pioneer Memorial Library,"26,106",10-01-2018,9/30/2019,Fredericksburg,8309976513,"$2,96,567","$16,941","$1,750",$0,$0,Yes,Yes,"37,426","1,151","12,778","2,383","55,551","46,636","7,187","29,015","1,245","42,247",Yes,9,"8,070",0,"2,302",52
Friendswood Public Library,"44,727",10-01-2018,9/30/2019,Friendswood,2814827135,"$10,09,378","$91,753","$48,470",$0,$0,Yes,Yes,"87,802","6,557","51,901","18,960","1,72,476","1,88,886","56,029","1,60,116","53,541","3,42,592",Yes,32,"23,153","1,65,386","3,243",52
Friona Public Library,"3,913",10-01-2018,9/30/2019,Friona,8062503200,"$86,564","$13,764","$7,602",$0,$0,Yes,Yes,"32,300","1,577","5,544","1,389","41,980","10,610","2,467","5,237",367,"10,647",Yes,13,"1,347","36,022","1,920",52
Cooke County Library,"37,370",10-01-2018,9/30/2019,Gainesville,9406685530,"$3,37,437","$42,650","$8,836",$0,$0,Yes,Yes,"48,117","2,573","4,530","7,090","66,430","79,928","10,311","48,878","5,117","87,825",Yes,26,"9,075","40,175","2,475",52
Rosenberg Library,"58,476",10-01-2018,9/30/2019,Galveston,4097638854,"$24,01,662","$1,76,434","$1,03,338",$0,"$5,77,510",Yes,Yes,"91,723","6,075","49,609","54,362","2,26,747","2,75,136","21,660","1,44,295","59,573","3,17,657",Yes,93,"60,310","2,77,601","3,300",52
Nicholson Memorial Library System,"2,42,507",10-01-2018,9/30/2019,Garland,9722052548,"$43,79,179","$6,45,314","$4,32,404","$63,591","$63,591",Yes,Yes,"2,48,502","7,628","1,02,829","24,483","4,12,086","4,92,495","1,64,052","4,51,720","2,39,938","11,14,789",Yes,196,"1,06,979",0,"3,230",52
Walnut Creek Branch Library,,,,Garland,9722052543,,,,,,,,,,,,,,,,,,,,,,"2,064",52
North Garland Branch Library,,,,Garland,9722052543,,,,,,,,,,,,,,,,,,,,,,"2,064",52
South Garland Branch Library,,,,Garland,9722052543,,,,,,,,,,,,,,,,,,,,,,"2,064",52
Garwood Memorial Library,"3,732",01-01-2019,12/31/2019,Garwood,9797583242,"$3,485",$352,$0,$0,"$19,046",No,Yes,"7,787",26,0,0,"8,159","1,264",752,165,0,981,Yes,3,205,0,312,52
